route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps,fifa_stress_score,fifa_risk_band,fifa_priority_rank,hotspot_risk_score
37810,R4,41st Avenue,RapidBus,0,313452,9.0,9.0,9.5,381.0,Eastbound W 41 Ave @ Carnarvon St,8.49,13151,Eastbound W 41 Ave @ Maple St,9.97,111,17,53,41,0.225,0.207,0.048,12,107,100.0,Critical,1,162.0
6641,099,Broadway B-Line,B-Line,0,312527,10.0,10.0,10.5,2118.0,Eastbound W Broadway @ Heather St,9.66,887,Eastbound E Broadway @ Kingsway,11.16,86,33,17,36,0.182,0.139,0.011,11,83,69.94,Critical,4,129.39
37810,R4,41st Avenue,RapidBus,0,313452,9.5,9.5,10.0,381.0,Eastbound W 41 Ave @ Carnarvon St,8.49,199,Eastbound W 41 Ave @ Granville St,11.0,86,4,36,46,0.256,0.253,0.02,12,82,100.0,Critical,1,98.0
6641,099,Broadway B-Line,B-Line,0,312527,9.5,9.5,10.0,12721.0,Eastbound W Broadway @ Granville St,8.22,11357,Broadway-City Hall Station @ Bay 1,10.09,92,13,57,22,0.197,0.181,0.0,12,85,69.94,Critical,4,91.62
37810,R4,41st Avenue,RapidBus,1,313453,2.5,2.5,3.0,1076.0,Westbound E 41 Ave @ Clarendon St,2.14,713,Westbound E 41 Ave @ Knight St,3.76,39,17,6,16,0.193,0.18,0.003,8,38,100.0,Critical,1,90.0
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,9.0,9.0,9.5,11475.0,Southbound Granville St @ Drake St,8.12,584,Westbound W 4th Ave @ Fir St,9.71,77,24,18,35,0.222,0.209,0.014,9,63,60.28,High,6,89.82
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,8.5,8.5,9.0,11475.0,Southbound Granville St @ Drake St,7.59,584,Westbound W 4th Ave @ Fir St,9.19,58,14,31,13,0.186,0.154,0.025,7,52,86.03,Critical,2,86.03
37810,R4,41st Avenue,RapidBus,0,313452,16.0,16.0,16.5,655.0,Eastbound E 41 Ave @ Knight St,15.59,1133,Eastbound E 41 Ave @ Clarendon St,17.19,40,14,12,14,0.207,0.153,0.023,10,40,100.0,Critical,1,82.0
6624,019,Kingsway,Regular Bus,1,312413,2.5,2.5,3.0,1181.0,Westbound Kingsway @ Boundary Rd,2.35,1185,Westbound Kingsway @ Wessex St,3.11,71,16,27,28,0.238,0.216,0.034,6,71,67.09,Critical,5,79.84
37810,R4,41st Avenue,RapidBus,1,313453,8.0,8.0,8.5,195.0,Westbound W 41 Ave @ Oak St,7.52,12632,Westbound W 41 Ave @ East Blvd,9.46,32,15,7,10,0.192,0.132,0.055,9,32,100.0,Critical,1,77.0
37810,R4,41st Avenue,RapidBus,0,313452,11.5,11.5,12.0,199.0,Eastbound W 41 Ave @ Granville St,11.0,12586,Oakridge-41st Ave Station @ Bay 3,12.76,48,9,8,31,0.274,0.253,0.053,12,47,100.0,Critical,1,75.0
37810,R4,41st Avenue,RapidBus,0,313452,12.5,12.5,13.0,811.0,Eastbound W 41 Ave @ Oak St,11.86,255,Eastbound E 41 Ave @ Main St,13.7,41,9,18,14,0.23,0.212,0.076,9,41,100.0,Critical,1,68.0
37810,R4,41st Avenue,RapidBus,1,313453,5.0,5.0,5.5,718.0,Westbound E 41 Ave @ Fraser St,4.76,11632,Westbound E 41 Ave @ Main St,5.56,34,10,10,14,0.208,0.181,0.048,12,30,100.0,Critical,1,64.0
37810,R4,41st Avenue,RapidBus,1,313453,3.5,3.5,4.0,709.0,Westbound E 41 Ave @ Victoria Dr,2.9,718,Westbound E 41 Ave @ Fraser St,4.76,27,12,4,11,0.224,0.198,0.099,9,26,100.0,Critical,1,63.0
6641,099,Broadway B-Line,B-Line,1,312530,3.5,3.5,4.0,12822.0,Westbound E Broadway @ Ontario St,2.95,934,Westbound W Broadway @ Willow St,4.26,87,1,19,67,0.336,0.313,0.011,13,87,69.94,Critical,4,62.95
