route_id,route_short_name,route_long_name,route_type,total_spacing_rows,total_bunching_events,severe_events,bunching_rate_pct,severe_bunching_rate_pct,peak_bunching_share_pct,reliability_score,reliability_band,hotspot_segments,worst_segment_events,worst_segment_severe_events,intervention_priority_score,bc_place_exposure,downtown_exposure,fan_festival_exposure,skytrain_connector_exposure,pm_peak_vulnerability,existing_reliability_weakness,has_extra_service,exposure_uplift,stress_multiplier,base_fragility,raw_stress,fifa_stress_score,fifa_risk_band,fifa_penalty,fifa_adjusted_reliability,reliability_drop,fifa_priority_rank
37810,R4,41st Avenue,RapidBus,10816,1301,232,12.03,2.14,36.89,77.6,Watch,66,111,17,52.42,1,0,0,0,0,1,0,0.5,1.5,38.71000000000001,90.00075000000002,100.0,Critical,25.0,52.6,25.0,1
6614,004,Powell/UBC Exchange,Regular Bus,10419,776,98,7.45,0.94,72.29,81.95,Watch,75,58,14,34.94,1,1,0,0,1,1,0,0.8500000000000001,1.85,27.379999999999995,78.51214999999999,86.03,Critical,21.5075,60.44,21.51,2
6617,007,Nanaimo Station/Dunbar,Regular Bus,13079,736,130,5.63,0.99,64.4,84.82,Watch,63,42,16,28.7,1,1,0,1,1,1,0,0.95,1.95,22.790000000000006,68.88277500000002,74.33,Critical,18.5825,66.24,18.58,3
6641,099,Broadway B-Line,B-Line,13579,1000,110,7.36,0.81,53.4,84.21,Watch,47,92,33,33.86,1,1,0,0,0,1,0,0.7,1.7,24.770000000000007,65.26895000000002,69.94,Critical,17.485,66.72,17.49,4
6624,019,Kingsway,Regular Bus,17340,1208,202,6.97,1.16,39.07,85.41,Reliable,76,71,16,32.08,1,1,0,0,0,1,0,0.7,1.7,23.880000000000003,62.92380000000001,67.09,Critical,16.7725,68.64,16.77,5
16718,014,Hastings/UBC Exchange,Regular Bus,15111,879,87,5.82,0.58,55.97,86.26,Reliable,69,77,24,28.06,1,1,1,0,1,1,1,1.1,2.1,20.719999999999995,57.32705999999999,60.28,High,15.07,71.19,15.07,6
6622,016,29th Avenue Station/Arbutus,Regular Bus,19778,1263,131,6.39,0.66,47.27,86.29,Reliable,82,75,11,29.02,1,0,0,1,0,1,0,0.6000000000000001,1.6,21.419999999999995,53.12159999999999,55.17,High,13.792499999999999,72.5,13.79,7
6642,100,Marine Drive,Regular Bus,5096,170,31,3.34,0.61,87.06,86.07,Reliable,38,41,11,22.82,1,1,0,0,1,1,0,0.8500000000000001,1.85,18.490000000000006,53.02007500000002,55.05,High,13.7625,72.31,13.76,8
6619,009,Broadway,Regular Bus,10744,190,16,1.77,0.15,91.05,88.47,Reliable,31,19,3,15.59,1,1,0,0,1,1,0,0.8500000000000001,1.85,13.600000000000001,38.998000000000005,38.0,Medium,9.5,78.97,9.5,9
6636,049,49th Avenue,Regular Bus,13694,320,52,2.34,0.38,75.0,88.93,Reliable,48,27,8,17.07,0,0,0,0,1,1,0,0.35,1.35,14.169999999999993,29.65072499999999,26.64,Medium,6.660000000000001,82.27,6.66,10
6625,020,Victoria,Regular Bus,9303,310,49,3.33,0.53,56.77,89.27,Reliable,42,23,8,18.47,0,0,0,0,1,0,0,0.15,1.15,15.120000000000005,26.95140000000001,23.36,Low,5.84,83.43,5.84,11
6728,410,Brighouse Station/22nd St Station,Regular Bus,8277,299,45,3.61,0.54,53.51,89.24,Reliable,49,22,8,18.9,0,0,0,1,0,0,0,0.1,1.1,15.450000000000005,26.342250000000014,22.62,Low,5.655,83.58,5.66,12
6627,025,King Edward,Regular Bus,12807,449,91,3.51,0.71,37.64,90.6,Reliable,73,27,15,18.15,0,0,0,0,0,0,0,0.0,1.0,14.330000000000005,22.211500000000008,17.6,Low,4.4,86.2,4.4,13
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,5851,107,8,1.83,0.14,68.22,90.7,Reliable,14,20,3,13.46,0,0,0,0,1,0,0,0.15,1.15,11.409999999999997,20.338324999999994,15.32,Low,3.83,86.87,3.83,14
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,10414,119,16,1.14,0.15,65.55,91.78,Reliable,39,23,4,11.53,0,0,0,1,1,0,0,0.25,1.25,9.66,18.71625,13.35,Low,3.3375000000000004,88.44,3.34,15
6712,335,Newton Exchange/Surrey Central Station,Regular Bus,9004,192,34,2.13,0.38,37.5,92.93,Reliable,47,13,3,12.05,0,0,0,1,0,0,0,0.1,1.1,9.959999999999992,16.98179999999999,11.24,Low,2.81,90.12,2.81,16
23384,503,Fraser Hwy Express,Express / Regional,9492,6,0,0.06,0.0,66.67,93.26,Reliable,4,3,0,6.98,0,0,0,0,1,0,0,0.15,1.15,6.7999999999999945,12.12099999999999,5.33,Low,1.3325,91.93,1.33,17
6705,321,King George Blvd,Regular Bus,14274,236,47,1.65,0.33,21.19,95.24,Reliable,45,28,7,9.63,0,0,0,0,0,0,0,0.0,1.0,7.070000000000006,10.95850000000001,3.92,Low,0.98,94.26,0.98,18
37807,R5,Hastings St,RapidBus,8622,55,9,0.64,0.1,30.91,95.94,Reliable,18,9,3,5.77,0,1,1,0,0,0,1,0.45,1.45,4.900000000000002,9.360837500000004,1.98,Low,0.49499999999999994,95.44,0.5,19
6738,502,Fraser Hwy,Express / Regional,8107,40,3,0.49,0.04,37.5,95.58,Reliable,22,6,1,5.58,0,0,0,0,0,0,0,0.0,1.0,4.990000000000002,7.734500000000003,0.0,Low,0.0,95.58,0.0,20
