route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,0,313452,9.0,9.0,9.5,381,Eastbound W 41 Ave @ Carnarvon St,8.49,13151,Eastbound W 41 Ave @ Maple St,9.97,111,17,53,41,0.225,0.207,0.048,12,107
6641,099,Broadway B-Line,B-Line,0,312527,9.5,9.5,10.0,12721,Eastbound W Broadway @ Granville St,8.22,11357,Broadway-City Hall Station @ Bay 1,10.09,92,13,57,22,0.197,0.181,0.0,12,85
6641,099,Broadway B-Line,B-Line,1,312530,3.5,3.5,4.0,12822,Westbound E Broadway @ Ontario St,2.95,934,Westbound W Broadway @ Willow St,4.26,87,1,19,67,0.336,0.313,0.011,13,87
37810,R4,41st Avenue,RapidBus,0,313452,9.5,9.5,10.0,381,Eastbound W 41 Ave @ Carnarvon St,8.49,199,Eastbound W 41 Ave @ Granville St,11.0,86,4,36,46,0.256,0.253,0.02,12,82
6641,099,Broadway B-Line,B-Line,0,312527,10.0,10.0,10.5,2118,Eastbound W Broadway @ Heather St,9.66,887,Eastbound E Broadway @ Kingsway,11.16,86,33,17,36,0.182,0.139,0.011,11,83
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,9.0,9.0,9.5,11475,Southbound Granville St @ Drake St,8.12,584,Westbound W 4th Ave @ Fir St,9.71,77,24,18,35,0.222,0.209,0.014,9,63
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,12.5,12.5,13.0,4887,Southbound Granville St @ W 5th Ave,12.42,13004,Westbound W 12 Ave @ Granville St,13.1,75,3,43,29,0.224,0.207,0.093,9,71
6624,019,Kingsway,Regular Bus,1,312413,2.5,2.5,3.0,1181,Westbound Kingsway @ Boundary Rd,2.35,1185,Westbound Kingsway @ Wessex St,3.11,71,16,27,28,0.238,0.216,0.034,6,71
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,8.5,8.5,9.0,11475,Southbound Granville St @ Drake St,7.59,584,Westbound W 4th Ave @ Fir St,9.19,58,14,31,13,0.186,0.154,0.025,7,52
6641,099,Broadway B-Line,B-Line,0,312527,9.0,9.0,9.5,12721,Eastbound W Broadway @ Granville St,8.22,2118,Eastbound W Broadway @ Heather St,9.66,57,0,18,39,0.341,0.312,0.172,13,57
37810,R4,41st Avenue,RapidBus,1,313453,9.0,9.0,9.5,287,Westbound W 41 Ave @ Granville St,8.4,297,Westbound W 41 Ave @ Carnarvon St,10.86,53,2,27,24,0.277,0.213,0.04,11,49
37810,R4,41st Avenue,RapidBus,0,313452,11.5,11.5,12.0,199,Eastbound W 41 Ave @ Granville St,11.0,12586,Oakridge-41st Ave Station @ Bay 3,12.76,48,9,8,31,0.274,0.253,0.053,12,47
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,8.0,8.0,8.5,509,Westbound E Hastings St @ Princess Ave,7.87,186,Westbound W Hastings St @ Carrall St,8.86,46,7,16,23,0.238,0.25,0.047,5,39
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,10.0,10.0,10.5,11532,Northbound Granville St @ Smithe St,9.93,11616,Northbound Granville St @ W Pender St,10.5,46,0,20,26,0.306,0.34,0.113,9,46
6641,099,Broadway B-Line,B-Line,1,312530,5.0,5.0,5.5,934,Westbound W Broadway @ Willow St,4.26,545,Westbound W Broadway @ Granville St,5.57,45,1,22,22,0.262,0.231,0.051,7,45
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,18.0,18.0,18.5,1054,Southbound Renfrew St @ E 8th Ave,17.96,1058,Southbound Renfrew St @ E 15 Ave,18.69,45,10,18,17,0.222,0.187,0.019,9,45
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,9.0,9.0,9.5,542,Westbound W 5th Ave Offramp @ Granville St,8.95,585,Westbound W 4th Ave @ Burrard St,9.52,44,1,12,31,0.312,0.346,0.091,4,36
6641,099,Broadway B-Line,B-Line,0,312527,7.0,7.0,7.5,322,Eastbound W Broadway @ Macdonald St,6.18,12721,Eastbound W Broadway @ Granville St,8.22,44,5,23,16,0.215,0.175,0.003,11,44
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,7.0,7.0,7.5,11522,Southbound Granville St @ Robson St,6.67,11475,Southbound Granville St @ Drake St,7.59,44,4,33,7,0.21,0.164,0.086,4,32
6624,019,Kingsway,Regular Bus,1,312413,8.5,8.5,9.0,1207,Westbound Kingsway @ St. George St,8.36,8622,Westbound Kingsway @ E Broadway,9.09,43,5,14,24,0.246,0.26,0.055,9,41
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,10.5,10.5,11.0,11522,Southbound Granville St @ Robson St,10.19,11475,Southbound Granville St @ Drake St,11.12,42,4,21,17,0.263,0.249,0.086,8,42
6641,099,Broadway B-Line,B-Line,0,312527,11.0,11.0,11.5,11357,Broadway-City Hall Station @ Bay 1,10.09,10620,Eastbound E Broadway  @ Fraser St,12.01,42,11,12,19,0.221,0.183,0.001,12,39
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,11.5,11.5,12.0,11475,Southbound Granville St @ Drake St,10.26,585,Westbound W 4th Ave @ Burrard St,12.18,42,7,24,11,0.202,0.195,0.025,5,32
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,11.5,11.5,12.0,2936,Eastbound W Hastings St @ Carrall St,11.44,12860,Eastbound E Hastings St @ Dunlevy Ave,12.17,42,2,10,30,0.316,0.349,0.032,10,42
6642,100,Marine Drive,Regular Bus,0,312532,6.0,6.0,6.5,1846,Eastbound SE Marine Dr @ Victoria Dr,5.97,1849,Eastbound SE Marine Dr @ Elliott St,6.71,41,11,20,10,0.2,0.184,0.016,3,32
37810,R4,41st Avenue,RapidBus,0,313452,12.5,12.5,13.0,811,Eastbound W 41 Ave @ Oak St,11.86,255,Eastbound E 41 Ave @ Main St,13.7,41,9,18,14,0.23,0.212,0.076,9,41
6641,099,Broadway B-Line,B-Line,0,312527,8.0,8.0,8.5,11724,Eastbound W Broadway @ Yew St,7.1,2118,Eastbound W Broadway @ Heather St,9.66,40,4,23,13,0.217,0.231,0.0,12,40
37810,R4,41st Avenue,RapidBus,0,313452,16.0,16.0,16.5,655,Eastbound E 41 Ave @ Knight St,15.59,1133,Eastbound E 41 Ave @ Clarendon St,17.19,40,14,12,14,0.207,0.153,0.023,10,40
37810,R4,41st Avenue,RapidBus,1,313453,2.5,2.5,3.0,1076,Westbound E 41 Ave @ Clarendon St,2.14,713,Westbound E 41 Ave @ Knight St,3.76,39,17,6,16,0.193,0.18,0.003,8,38
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,10.5,10.5,11.0,11525,Northbound Granville St @ Dunsmuir St,10.34,12489,Eastbound W Hastings St @ Abbott St,11.29,39,7,15,17,0.231,0.206,0.046,6,39
37810,R4,41st Avenue,RapidBus,0,313452,15.0,15.0,15.5,12134,Eastbound E 41 Ave @ Fraser St,14.51,655,Eastbound E 41 Ave @ Knight St,15.59,38,6,15,17,0.234,0.203,0.051,11,38
37810,R4,41st Avenue,RapidBus,1,313453,6.5,6.5,7.0,11632,Westbound E 41 Ave @ Main St,5.56,195,Westbound W 41 Ave @ Oak St,7.52,38,6,20,12,0.226,0.186,0.025,10,34
6624,019,Kingsway,Regular Bus,0,312403,11.5,11.5,12.0,1158,Eastbound Kingsway @ Rupert St,11.29,1162,Eastbound Kingsway @ Tyne St,12.18,37,3,11,23,0.295,0.323,0.081,6,37
6624,019,Kingsway,Regular Bus,1,312413,11.0,11.0,11.5,184,Northbound Main St @ E Georgia St,10.85,93,Westbound W Pender St @ Abbott St,11.64,37,8,19,10,0.199,0.187,0.046,6,31
6624,019,Kingsway,Regular Bus,1,312413,12.0,12.0,12.5,11638,Westbound W Pender St @ Hamilton St,11.92,9307,Westbound W Pender St @ Burrard St,12.61,37,10,17,10,0.18,0.157,0.046,8,34
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,11.0,11.0,11.5,11429,Northbound Granville St @ Davie St,10.8,11523,Northbound Granville St @ W Georgia St,11.53,37,0,24,13,0.252,0.174,0.163,6,33
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,7.5,7.5,8.0,11522,Southbound Granville St @ Robson St,7.19,11475,Southbound Granville St @ Drake St,8.12,37,2,15,20,0.283,0.256,0.079,7,37
6624,019,Kingsway,Regular Bus,1,312413,10.0,10.0,10.5,179,Northbound Main St @ E 2nd Ave,9.79,184,Northbound Main St @ E Georgia St,10.85,37,6,9,22,0.269,0.274,0.029,6,34
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,13.0,13.0,13.5,2936,Eastbound W Hastings St @ Carrall St,12.81,12860,Eastbound E Hastings St @ Dunlevy Ave,13.54,36,4,9,23,0.253,0.27,0.059,6,33
6624,019,Kingsway,Regular Bus,1,312414,4.0,4.0,4.5,9307,Westbound W Pender St @ Burrard St,3.74,11643,Westbound W Pender St @ Broughton St,4.52,35,5,14,16,0.232,0.226,0.034,6,35
6624,019,Kingsway,Regular Bus,0,312403,11.0,11.0,11.5,1156,Eastbound Kingsway @ Earles St,10.79,1159,Eastbound Kingsway @ McKinnon St,11.65,35,5,20,10,0.212,0.185,0.041,6,35
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,11.0,11.0,11.5,11427,Southbound Granville St @ Davie St,10.97,4887,Southbound Granville St @ W 5th Ave,12.42,35,2,11,22,0.281,0.288,0.075,9,35
6641,099,Broadway B-Line,B-Line,1,312530,8.5,8.5,9.0,11113,Westbound W Broadway @ Macdonald St,7.6,361,Southbound Alma St @ W 10 Ave,9.03,35,16,4,15,0.225,0.2,0.048,9,34
6641,099,Broadway B-Line,B-Line,0,312527,10.5,10.5,11.0,11357,Broadway-City Hall Station @ Bay 1,10.09,887,Eastbound E Broadway @ Kingsway,11.16,34,0,6,28,0.293,0.281,0.14,9,34
6624,019,Kingsway,Regular Bus,1,312413,9.0,9.0,9.5,1208,Westbound Kingsway @ E 12 Ave,8.68,179,Northbound Main St @ E 2nd Ave,9.79,34,4,9,21,0.273,0.301,0.016,6,34
37810,R4,41st Avenue,RapidBus,1,313453,5.0,5.0,5.5,718,Westbound E 41 Ave @ Fraser St,4.76,11632,Westbound E 41 Ave @ Main St,5.56,34,10,10,14,0.208,0.181,0.048,12,30
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,15.5,15.5,16.0,956,Eastbound E Hastings St @ Kamloops St,15.19,1047,Southbound Renfrew St @ E Georgia St,16.28,34,10,6,18,0.251,0.297,0.05,8,31
