service_date,route_id,route_short_name,route_long_name,route_type,total_spacing_rows,total_bunching_events,severe_events,peak_events,bunching_rate_pct,severe_bunching_rate_pct,peak_bunching_share_pct,reliability_score,reliability_band
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,10816,1301,232,480,12.03,2.14,36.89,77.6,Watch
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,10419,776,98,561,7.45,0.94,72.29,81.95,Watch
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,13579,1000,110,534,7.36,0.81,53.4,84.21,Watch
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,13079,736,130,474,5.63,0.99,64.4,84.82,Watch
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,17340,1208,202,472,6.97,1.16,39.07,85.41,Reliable
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,5096,170,31,148,3.34,0.61,87.06,86.07,Reliable
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,15111,879,87,492,5.82,0.58,55.97,86.26,Reliable
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,19778,1263,131,597,6.39,0.66,47.27,86.29,Reliable
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,10744,190,16,173,1.77,0.15,91.05,88.47,Reliable
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,13694,320,52,240,2.34,0.38,75.0,88.93,Reliable
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,8277,299,45,160,3.61,0.54,53.51,89.24,Reliable
2026-05-23 00:00:00,6625,020,Victoria,Regular Bus,9303,310,49,176,3.33,0.53,56.77,89.27,Reliable
2026-05-23 00:00:00,6627,025,King Edward,Regular Bus,12807,449,91,169,3.51,0.71,37.64,90.6,Reliable
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,5851,107,8,73,1.83,0.14,68.22,90.7,Reliable
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,10414,119,16,78,1.14,0.15,65.55,91.78,Reliable
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,9004,192,34,72,2.13,0.38,37.5,92.93,Reliable
2026-05-23 00:00:00,23384,503,Fraser Hwy Express,Express / Regional,9492,6,0,4,0.06,0.0,66.67,93.26,Reliable
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,14274,236,47,50,1.65,0.33,21.19,95.24,Reliable
2026-05-23 00:00:00,6738,502,Fraser Hwy,Express / Regional,8107,40,3,15,0.49,0.04,37.5,95.58,Reliable
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,8622,55,9,17,0.64,0.1,30.91,95.94,Reliable
