shape_id,n_points,route_id
313437,601,6841
318286,563,6749
318064,551,11693
313420,524,6834
317669,514,6667
313162,512,6737
312953,490,6705
312851,476,6687
313412,472,6830
318034,466,6717
312659,458,6666
312705,457,30045
318342,443,7224
317701,438,30044
317626,436,6657
317863,424,6691
313175,421,23384
312746,414,6673
313192,407,20667
317457,403,6627
317901,401,6698
318032,401,6716
312507,390,6636
318212,389,6814
313262,388,6748
312888,383,6779
318226,376,6741
313018,375,6715
313321,371,6804
317725,368,16717
312736,368,6672
312537,368,6642
317562,366,6646
312886,362,6693
317710,361,30046
312760,360,6675
312260,355,6617
317861,353,6690
318193,352,6739
318241,349,6743
312389,349,6622
317670,349,6668
312892,346,6777
318074,338,6720
317619,337,6654
313107,336,6727
313212,333,12940
318442,330,6837
313130,325,6728
317828,320,6686
318239,319,6742
317936,311,6704
318266,310,6747
312478,310,11201
313329,310,6805
318359,310,44845
313422,307,6835
317636,305,7509
317643,304,6660
313453,303,37810
318104,303,6726
313155,297,6730
318518,296,6614
318476,295,37807
317695,293,30042
317405,292,6624
317688,291,30040
312443,290,6626
313434,290,6838
317876,287,6692
318246,285,6744
313000,283,6713
318076,282,6721
317656,278,6664
312906,275,6822
312908,269,6699
317809,269,6682
318491,269,6651
318201,267,18705
312332,267,16718
312684,266,30039
318493,265,39305
317798,264,6679
312572,261,6648
318316,260,34042
317822,256,6685
313244,255,11696
312458,251,6628
317816,250,6683
318022,249,6714
318018,249,29038
312650,249,6661
313435,248,6840
313318,247,34043
318063,247,7321
313046,243,6819
317520,237,6638
312879,234,10232
312539,232,6643
312312,232,6620
317428,232,6625
318461,231,38311
313036,228,11692
318309,228,6799
317529,227,6641
317577,226,6649
318145,225,6827
312719,224,22638
312551,224,6644
313208,224,6816
318436,223,6836
317998,223,6712
318483,222,6630
313337,221,6754
312590,221,6650
317913,220,6700
318177,219,6738
318162,217,9745
318463,216,37809
312483,214,6633
312804,214,6680
312617,213,6652
312229,212,6613
312225,211,6612
314712,211,6703
318215,208,6815
312396,207,6623
318508,206,53126
312696,206,30043
312491,205,6635
317711,203,30047
317958,202,6821
318206,201,34045
317680,200,30038
313295,199,31822
317658,193,6665
318301,191,31821
313035,189,31819
317772,189,22639
318314,187,6800
313193,186,34044
313058,185,6718
312279,182,6618
318536,181,53127
318041,180,31817
317611,178,33292
317715,178,30049
317638,177,6659
312717,177,30050
312692,176,30041
317981,175,6709
313041,170,8286
318052,170,6818
313465,167,46604
317508,167,6637
317924,166,6702
317621,166,6656
312557,166,16719
318429,164,6833
312629,163,6658
312517,162,33538
318152,162,6828
313045,162,31820
317765,161,6780
312789,160,6678
312305,160,6619
318086,160,6724
313415,157,6831
318110,156,34542
312713,154,30048
318158,153,6829
317466,153,6629
317982,151,6710
313028,150,31816
313445,147,37808
318250,147,6745
312754,147,6674
312916,146,6701
312966,145,6707
314722,141,6719
312992,138,17707
313284,138,34541
313118,137,34543
312777,133,6676
317677,133,30037
312724,132,30584
317518,132,45596
313245,131,6843
312854,131,6688
314713,130,6706
317784,129,6677
317900,128,34544
313004,128,8290
312477,127,39304
312898,126,6778
318495,126,30055
317356,125,6621
312999,125,48855
317830,123,36799
318345,123,29040
313015,122,40855
318093,121,6725
313283,119,34540
312553,118,6796
317976,118,6708
313242,117,6746
318357,114,6762
318082,114,6723
317653,113,6663
312568,113,6647
318489,109,53125
317721,108,30051
312635,107,6806
312818,104,39307
313066,102,6722
312555,101,6645
312587,100,6662
317576,94,32799
313249,93,6825
318352,92,29039
317493,91,11202
317675,91,30036
318356,90,6761
317633,89,6817
317543,86,46099
313146,80,13684
318258,80,6823
318264,79,6844
318043,76,31818
317857,73,6689
317604,73,6776
317481,71,6631
318354,68,8289
317792,65,18213
317630,65,6811
312546,62,6790
318504,58,53124
312253,57,6616
312251,51,6615
312605,48,7322
