route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name,bus_subtype,static_stop_count,has_shape,total_records,unique_vehicles,days_active,activity_rank,is_critical
Broadway B-Line,3,FFFFFF,d04110,TL,6641,https://translink.ca/schedules-and-maps/route/99/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=99,,099,B-Line,40,True,214370,87,5,1,True
49th Avenue,3,,,TL,6636,https://translink.ca/schedules-and-maps/route/49/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=49,,049,Regular Bus,126,True,195742,41,5,2,True
41st Avenue,3,FFFFFF,008522,TL,37810,https://translink.ca/schedules-and-maps/route/R4/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R4,,R4,RapidBus,34,True,188891,100,5,3,True
29th Avenue Station/Arbutus,3,,,TL,6622,https://translink.ca/schedules-and-maps/route/16/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=16,,016,Regular Bus,168,True,174343,109,5,4,True
King George Blvd,3,,,TL,6705,https://translink.ca/schedules-and-maps/route/321/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=321,,321,Regular Bus,144,True,160426,176,5,5,True
Fraser Hwy Express,3,,,TL,23384,https://translink.ca/schedules-and-maps/route/503/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=503,,503,Express,84,True,159264,131,5,6,True
King Edward,3,,,TL,6627,https://translink.ca/schedules-and-maps/route/25/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=25,,025,Regular Bus,127,True,147605,72,5,7,True
Kingsway,3,,,TL,6624,https://translink.ca/schedules-and-maps/route/19/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=19,,019,Regular Bus,105,True,144713,96,5,8,True
Hastings/UBC Exchange,3,,,TL,16718,https://translink.ca/schedules-and-maps/route/14/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=14,,014,Regular Bus,135,True,128954,93,5,9,True
Newton Exchange/Surrey Central Station,3,,,TL,6712,https://translink.ca/schedules-and-maps/route/335/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=335,,335,Regular Bus,114,True,126594,185,5,10,True
Hastings St,3,FFFFFF,008522,TL,37807,https://translink.ca/schedules-and-maps/route/R5/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=R5,,R5,RapidBus,38,True,125588,117,5,11,True
Nanaimo Station/Dunbar,3,,,TL,6617,https://translink.ca/schedules-and-maps/route/7/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=7,,007,Regular Bus,136,True,120717,84,5,12,True
Brighouse Station/22nd St Station,3,,,TL,6728,https://translink.ca/schedules-and-maps/route/410/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=410,,410,Regular Bus,97,True,120234,107,5,13,True
Broadway,3,,,TL,6619,https://translink.ca/schedules-and-maps/route/9/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=9,,009,Regular Bus,83,True,114524,63,5,14,True
Horseshoe Bay/Dundarave/Vancouver,3,,,TL,6687,https://translink.ca/schedules-and-maps/route/250/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=250,,250,Regular Bus,126,True,114131,37,5,15,True
Marine Drive,3,,,TL,6642,https://translink.ca/schedules-and-maps/route/100/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=100,,100,Regular Bus,97,True,109016,39,5,16,True
Fraser Hwy,3,,,TL,6738,https://translink.ca/schedules-and-maps/route/502/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=502,,502,Express,65,True,108640,121,5,17,True
Port Coquitlam Station/Kootenay Loop,3,,,TL,6667,https://translink.ca/schedules-and-maps/route/160/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=160,,160,Regular Bus,110,True,102690,71,5,18,True
Victoria,3,,,TL,6625,https://translink.ca/schedules-and-maps/route/20/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=20,,020,Regular Bus,104,True,101660,45,5,19,True
Powell/UBC Exchange,3,,,TL,6614,https://translink.ca/schedules-and-maps/route/4/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=4,,004,Regular Bus,112,True,100376,69,5,20,True
