serves_skytrain_corridor,vancouver_hour,records
False,0,94848
False,1,58137
False,2,28994
False,3,13574
False,4,20748
False,5,113110
False,6,247247
False,7,338133
False,8,364908
False,9,336207
False,10,255517
False,11,233502
False,12,261018
False,13,266202
False,14,335479
False,15,396175
False,16,421566
False,17,412140
False,18,369222
False,19,289622
False,20,231383
False,21,194269
False,22,157307
False,23,129353
True,0,60674
True,1,34043
True,2,12083
True,3,6143
True,4,17878
True,5,93638
True,6,193984
True,7,241686
True,8,249249
True,9,216205
True,10,160516
True,11,149406
True,12,168415
True,13,170732
True,14,214351
True,15,271017
True,16,291685
True,17,286087
True,18,251365
True,19,188000
True,20,147692
True,21,126004
True,22,104109
True,23,83893
