hour,days_observed,avg_records,avg_unique_vehicles,avg_unique_routes,min_records,max_records,utc_hour,vancouver_hour
0,5,139645.4,1245.8,198.6,89420,152511,0,17
1,5,124117.4,1190.0,198.8,84771,134721,1,18
2,5,95524.4,965.0,195.6,76778,101003,2,19
3,5,75815.0,726.8,180.2,67058,78470,3,20
4,5,64054.6,614.8,170.0,57168,66273,4,21
5,5,52283.2,508.2,160.0,46746,53864,5,22
6,5,42649.2,415.2,147.2,39065,44288,6,23
7,5,31104.4,334.2,133.0,26942,32597,7,0
8,5,18436.0,221.4,100.2,14651,19523,8,1
9,5,8215.4,115.8,63.8,6022,9140,9,2
10,5,3943.4,50.2,20.2,3309,4355,10,3
11,5,7725.2,170.8,79.6,4455,8742,11,4
12,5,41349.6,604.8,169.0,15548,48216,12,5
13,5,88246.2,926.2,186.4,41811,100037,13,6
14,5,115963.8,1093.2,194.0,60355,130579,14,7
15,5,122831.4,1123.2,197.2,70134,136654,15,8
16,5,110482.4,1057.2,193.4,78909,119125,16,9
17,5,83206.6,896.4,187.0,27554,102757,17,10
18,5,76581.6,803.0,181.4,2752,96878,18,11
19,5,85886.6,841.0,184.4,51149,95245,19,12
20,5,87386.8,890.2,184.0,43994,98580,20,13
21,5,109966.0,1063.2,193.8,101447,112529,21,14
22,5,133438.4,1225.0,201.0,103160,141727,22,15
23,5,142650.2,1268.8,200.4,105241,152642,23,16
