route_id,days_active,mean_daily_records,std_daily_records,min_daily_records,max_daily_records,total_records,cv_daily_records,is_persistent,route_short_name,route_long_name,mode,bus_subtype,cv_capped,cv_score,persistence_score,stability_score
6836,5,441.6,7.1,431,448,2208,0.0161,True,N22,Macdonald,Bus,NightBus,0.0161,0.9603877571105206,1.0,97.62
16717,5,2518.2,81.1,2459,2660,12591,0.0322,True,209,Mountain Hwy,Bus,Regular Bus,0.0322,0.9207755142210412,1.0,95.25
6830,5,1539.8,52.4,1479,1601,7699,0.034,True,N10,Granville-YVR,Bus,NightBus,0.034,0.9163468162582423,1.0,94.98
6796,5,4102.4,147.5,3922,4274,20512,0.036,True,105,New West Station/Uptown,Bus,Regular Bus,0.036,0.9114260407440212,1.0,94.69
6674,5,3674.6,148.9,3494,3901,18373,0.0405,True,212,Dollarton Hwy,Bus,Regular Bus,0.0405,0.9003542958370239,1.0,94.02
6838,5,1705.0,70.9,1582,1754,8525,0.0416,True,N35,Hastings St,Bus,NightBus,0.0416,0.8976478693042024,1.0,93.86
38311,5,14065.8,613.4,13412,14743,70329,0.0436,True,R2,Marine Drive,Bus,RapidBus,0.0436,0.8927270937899813,1.0,93.56
6790,5,2596.0,114.3,2440,2757,12980,0.044,True,103,New West Station/Quayside,Bus,Regular Bus,0.044,0.8917429386871372,1.0,93.5
30584,5,3506.0,169.9,3216,3620,17530,0.0485,True,191,Coquitlam Central Station/Princeton,Bus,Regular Bus,0.0485,0.8806711937801397,1.0,92.84
34542,5,11083.6,550.0,10431,11701,55418,0.0496,True,406,Railway Ave,Bus,Regular Bus,0.0496,0.8779647672473182,1.0,92.68
6633,5,14940.0,772.3,13904,15741,74700,0.0517,True,041,41st Avenue,Bus,Regular Bus,0.0517,0.872797952957386,1.0,92.37
6659,5,4831.4,251.3,4514,5107,24157,0.052,True,151,Como Lake Ave,Bus,Regular Bus,0.052,0.872059836630253,1.0,92.32
6623,5,14581.8,761.9,13527,15341,72909,0.0522,True,017,Oak,Bus,Regular Bus,0.0522,0.8715677590788309,1.0,92.29
6724,5,12527.0,658.1,11449,12970,62635,0.0525,True,403,Bridgeport Station/Three Road,Bus,Regular Bus,0.0525,0.8708296427516977,1.0,92.25
6811,5,1930.4,108.7,1801,2093,9652,0.0563,True,146,Metrotown Station/Suncrest,Bus,Regular Bus,0.0563,0.8614801692746776,1.0,91.69
