route_id,route_short_name,route_long_name,mode,bus_subtype,days_active,mean_daily_records,cv_daily_records,is_persistent,stability_score
6836,N22,Macdonald,Bus,NightBus,5,441.6,0.0161,True,97.62
16717,209,Mountain Hwy,Bus,Regular Bus,5,2518.2,0.0322,True,95.25
6830,N10,Granville-YVR,Bus,NightBus,5,1539.8,0.034,True,94.98
6796,105,New West Station/Uptown,Bus,Regular Bus,5,4102.4,0.036,True,94.69
6674,212,Dollarton Hwy,Bus,Regular Bus,5,3674.6,0.0405,True,94.02
6838,N35,Hastings St,Bus,NightBus,5,1705.0,0.0416,True,93.86
38311,R2,Marine Drive,Bus,RapidBus,5,14065.8,0.0436,True,93.56
6790,103,New West Station/Quayside,Bus,Regular Bus,5,2596.0,0.044,True,93.5
30584,191,Coquitlam Central Station/Princeton,Bus,Regular Bus,5,3506.0,0.0485,True,92.84
34542,406,Railway Ave,Bus,Regular Bus,5,11083.6,0.0496,True,92.68
6633,041,41st Avenue,Bus,Regular Bus,5,14940.0,0.0517,True,92.37
6659,151,Como Lake Ave,Bus,Regular Bus,5,4831.4,0.052,True,92.32
6623,017,Oak,Bus,Regular Bus,5,14581.8,0.0522,True,92.29
6724,403,Bridgeport Station/Three Road,Bus,Regular Bus,5,12527.0,0.0525,True,92.25
6811,146,Metrotown Station/Suncrest,Bus,Regular Bus,5,1930.4,0.0563,True,91.69
6668,169,Coquitlam Central Station/Braid Station,Bus,Regular Bus,5,4843.0,0.0573,True,91.54
6617,007,Nanaimo Station/Dunbar,Bus,Regular Bus,5,24143.4,0.0577,True,91.48
6612,002,Macdonald,Bus,Regular Bus,5,15398.4,0.0579,True,91.45
31819,363,Southpoint/Peace Arch Hospital,Bus,Regular Bus,5,5400.2,0.0587,True,91.33
6665,157,Burquitlam Station/Lougheed Station,Bus,Regular Bus,5,5836.0,0.0587,True,91.33
30044,181,Moody Centre Station/Ioco,Bus,Regular Bus,5,2298.4,0.059,True,91.29
6618,008,Fraser,Bus,Regular Bus,5,16362.2,0.0607,True,91.04
6679,232,Grouse Mountain/Phibbs Exchange,Bus,Regular Bus,5,6947.8,0.0619,True,90.86
6652,134,Lake City Station/Brentwood Station,Bus,Regular Bus,5,5977.2,0.0623,True,90.8
16719,109,New West Station/Lougheed Station,Bus,Regular Bus,5,3587.0,0.0623,True,90.8
37809,R3,Lougheed Hwy,Bus,RapidBus,5,13982.4,0.0628,True,90.73
6831,N15,Cambie,Bus,NightBus,5,393.8,0.063,True,90.7
