route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
1,0.4444444444444444,6641,099,Broadway B-Line,Bus,B-Line,214370,214370,2.303192387743411
2,0.8888888888888888,6636,049,49th Avenue,Bus,Regular Bus,195742,410112,4.4062454472278105
3,1.3333333333333335,37810,R4,41st Avenue,Bus,RapidBus,188891,599003,6.4356913273101
4,1.7777777777777777,6622,016,29th Avenue Station/Arbutus,Bus,Regular Bus,174343,773346,8.308833420216521
5,2.2222222222222223,6705,321,King George Blvd,Bus,Regular Bus,160426,933772,10.032451193207725
6,2.666666666666667,23384,503,Fraser Hwy Express,Bus,Express,159264,1093036,11.74358443219437
7,3.111111111111111,6627,025,King Edward,Bus,Regular Bus,147605,1240641,13.329453314933867
8,3.5555555555555554,6624,019,Kingsway,Bus,Regular Bus,144713,1385354,14.884250534729137
9,4.0,16718,014,Hastings/UBC Exchange,Bus,Regular Bus,128954,1514308,16.269732977090772
10,4.444444444444445,6712,335,Newton Exchange/Surrey Central Station,Bus,Regular Bus,126594,1640902,17.62985956725726
11,4.888888888888889,37807,R5,Hastings St,Bus,RapidBus,125588,1766490,18.979177688225302
12,5.333333333333334,6617,007,Nanaimo Station/Dunbar,Bus,Regular Bus,120717,1887207,20.27616176002276
13,5.777777777777778,6728,410,Brighouse Station/22nd St Station,Bus,Regular Bus,120234,2007441,21.567956477324344
14,6.222222222222222,6619,009,Broadway,Bus,Regular Bus,114524,2121965,22.79840292511987
15,6.666666666666667,6687,250,Horseshoe Bay/Dundarave/Vancouver,Bus,Regular Bus,114131,2236096,24.02462697888459
16,7.111111111111111,6642,100,Marine Drive,Bus,Regular Bus,109016,2345112,25.195895446217875
17,7.555555555555555,6738,502,Fraser Hwy,Bus,Regular Bus,108640,2453752,26.3631241676082
18,8.0,6667,160,Port Coquitlam Station/Kootenay Loop,Bus,Regular Bus,102690,2556442,27.466426058252274
19,8.444444444444445,6625,020,Victoria,Bus,Regular Bus,101660,2658102,28.558661623573894
20,8.88888888888889,6614,004,Powell/UBC Exchange,Bus,Regular Bus,100376,2758478,29.637101886260524
21,9.333333333333334,6706,323,128 Street,Bus,Regular Bus,99811,2858289,30.70947178602755
22,9.777777777777779,46604,R6,Scott Road,Bus,RapidBus,96148,2954437,31.742486394866255
23,10.222222222222223,6682,240,Lynn Valley/Downtown,Bus,Regular Bus,95947,3050384,32.77334145866631
24,10.666666666666668,6651,130,Willingdon,Bus,Regular Bus,92163,3142547,33.76354120691278
