vehicle_id,total_records,days_active,routes_served,primary_route,records_per_active_day
21506,6926,5,24,6668,1385.2
21516,7658,5,24,30045,1531.6
24506,6047,5,22,16719,1209.4
21551,7522,5,22,30046,1504.4
24534,6539,5,22,6800,1307.8
24536,6021,5,22,16719,1204.2
21543,5946,5,22,30043,1189.2
21552,7529,5,21,30039,1505.8
21546,6389,5,21,16719,1277.8
9611,5020,5,21,6682,1004.0
21540,7465,5,21,34043,1493.0
21514,5727,5,20,6800,1145.4
21548,7291,5,20,30045,1458.2
16118,6782,5,20,6703,1356.4
21531,5727,5,20,34541,1145.4
21534,6739,5,20,30044,1347.8
21542,7648,5,20,30047,1529.6
21518,3927,4,20,16719,981.75
21520,9294,5,20,30036,1858.8
9656,4810,5,20,6651,962.0
