route_id,first_seen,last_seen,active_hours,total_records,unique_vehicles
6624,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,3218,26
6622,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,2264,15
6705,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,2073,16
6617,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,2070,12
6641,2026-05-18 00:08:51.018781+00:00,2026-05-18 10:07:52.340468+00:00,5,1995,12
37807,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1947,10
6619,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1898,11
37810,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1884,11
6712,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1870,16
16718,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,6,1765,16
6625,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1757,9
6636,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1734,13
6687,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1724,15
6738,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1715,14
23384,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1616,10
6627,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1598,11
6667,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1517,11
6706,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1512,10
6614,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1509,10
46604,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1507,10
6613,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1499,8
6728,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,1498,11
6618,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1493,9
6703,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1436,8
6620,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1414,9
37808,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,4,1397,9
6612,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1395,8
6626,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1367,7
6749,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1326,8
38311,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1305,8
6623,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1241,7
6821,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1179,8
37809,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1173,6
6715,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,1147,10
6741,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,6,1132,11
6704,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1121,15
6633,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,1101,8
6724,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,1070,10
6615,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,1069,13
6642,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,1026,10
11692,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,985,12
6693,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:03:46.302859+00:00,3,985,9
6649,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,980,6
7321,2026-05-18 00:08:51.018781+00:00,2026-05-18 10:07:52.340468+00:00,4,956,9
6737,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,949,11
6616,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,934,13
6651,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,931,7
6730,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:32:29.836982+00:00,2,930,10
30055,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,920,5
34542,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,893,6
6657,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,892,6
6682,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:54:32.315213+00:00,2,876,10
29038,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:19:38.360712+00:00,3,836,9
6645,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,833,10
6692,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,821,9
6630,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,806,8
6727,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,780,9
6637,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,763,9
32799,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,754,9
18705,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,743,5
6747,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,697,6
6819,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:01:43.324418+00:00,3,676,6
6621,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,675,8
30046,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,656,6
6646,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,642,4
11201,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:19:38.360712+00:00,3,633,4
6666,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,632,6
6707,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,625,11
22638,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,615,6
6726,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,601,5
16717,2026-05-18 06:04:16.434682+00:00,2026-05-18 08:38:09.836336+00:00,3,594,4
6658,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,582,3
6673,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,568,5
33538,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,558,3
30043,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:00:41.610923+00:00,3,548,7
6748,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:15:32.845247+00:00,3,545,6
6680,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:31:28.330794+00:00,2,537,10
6650,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,520,7
6677,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,518,6
6654,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,516,7
6665,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:14:31.476447+00:00,3,504,5
6722,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,491,4
6664,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,490,5
