vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
12001,94,94,0.0,1.0
12003,94,94,0.0,1.0
12005,94,94,0.0,1.0
12007,217,217,0.0,1.0
12009,51,51,0.0,1.0
12012,244,244,0.0,1.0
12015,228,228,0.0,1.0
12018,93,93,0.0,1.0
12019,244,244,0.0,1.0
12021,234,234,0.0,1.0
12025,94,94,0.0,1.0
14001,94,94,0.0,1.0
14002,94,94,0.0,1.0
14004,94,94,0.0,1.0
14008,242,242,0.0,1.0
14010,234,234,0.0,1.0
14011,100,100,0.0,1.0
14014,94,94,0.0,1.0
14015,96,96,0.0,1.0
14016,240,240,0.0,1.0
14021,54,54,0.0,1.0
14023,197,197,0.0,1.0
14024,244,244,0.0,1.0
14027,88,88,0.0,1.0
14030,244,244,0.0,1.0
14032,94,94,0.0,1.0
14034,229,229,0.0,1.0
14037,87,87,0.0,1.0
14040,94,94,0.0,1.0
14043,224,224,0.0,1.0
14044,94,94,0.0,1.0
15003,171,171,0.0,1.0
15007,94,94,0.0,1.0
15011,246,246,0.0,1.0
15012,94,94,0.0,1.0
15013,94,94,0.0,1.0
15014,247,247,0.0,1.0
15015,1,1,0.0,1.0
15021,232,232,0.0,1.0
16001,83,83,0.0,1.0
16002,235,235,0.0,1.0
16007,234,234,0.0,1.0
16014,246,246,0.0,1.0
16018,92,92,0.0,1.0
16020,238,238,0.0,1.0
16021,244,244,0.0,1.0
16025,223,223,0.0,1.0
16026,94,94,0.0,1.0
16031,94,94,0.0,1.0
16033,225,225,0.0,1.0
16034,244,244,0.0,1.0
16035,94,94,0.0,1.0
16036,225,225,0.0,1.0
16040,235,235,0.0,1.0
16047,234,234,0.0,1.0
16049,2,2,0.0,1.0
16050,94,94,0.0,1.0
16102,90,90,0.0,1.0
16104,244,244,0.0,1.0
16105,235,235,0.0,1.0
16106,94,94,0.0,1.0
16108,232,232,0.0,1.0
16109,244,244,0.0,1.0
16110,243,243,0.0,1.0
16111,244,244,0.0,1.0
16113,241,241,0.0,1.0
