date,total_files,valid_files,corrupted_files,total_rows,earliest_record,latest_record
2026-05-10,4,4,0,1227,2026-05-10 07:09:50.721157+00:00,2026-05-10 07:11:22.885134+00:00
2026-05-11,0,0,0,0,,
2026-05-12,0,0,0,0,,
2026-05-13,0,0,0,0,,
2026-05-14,365,365,0,388877,2026-05-14 17:54:59.192399+00:00,2026-05-14 23:59:32.847010+00:00
2026-05-15,603,603,0,660238,2026-05-15 00:00:03.874568+00:00,2026-05-15 16:29:36.890690+00:00
2026-05-16,870,870,0,698621,2026-05-16 00:25:02.561363+00:00,2026-05-16 22:31:38.934679+00:00
2026-05-17,1120,1120,0,647396,2026-05-17 00:11:52.288416+00:00,2026-05-17 21:22:25.455153+00:00
2026-05-18,93,93,0,71255,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00
2026-05-19,2617,2617,0,1678374,2026-05-19 00:00:22.402984+00:00,2026-05-19 23:59:41.585757+00:00
2026-05-20,2695,2695,0,1930580,2026-05-20 00:00:12.221335+00:00,2026-05-20 23:59:52.547614+00:00
2026-05-21,2812,2812,0,2025325,2026-05-21 00:00:23.402709+00:00,2026-05-21 23:59:45.244862+00:00
2026-05-22,2815,2815,0,2029152,2026-05-22 00:00:16.050088+00:00,2026-05-22 23:59:41.388113+00:00
2026-05-23,2819,2819,0,1644085,2026-05-23 00:00:12.049910+00:00,2026-05-23 23:59:59.054592+00:00
2026-05-24,1986,1986,0,784388,2026-05-24 00:00:29.626942+00:00,2026-05-24 16:52:54.939571+00:00
