vehicle_id,report_count,median_interval_sec,mean_interval_sec,max_interval_sec
18024,3,3.0,20.7,57.0
18107,3,18.0,21.0,43.0
8138,2,18.5,18.5,35.0
9692,3,19.0,21.0,41.0
18351,3,22.0,24.7,36.0
9636,1,23.0,23.0,23.0
19419,3,23.0,26.0,52.0
24123,3,24.0,25.3,33.0
9776,3,25.0,23.7,30.0
25163,3,25.0,23.3,29.0
25177,3,25.0,30.0,47.0
2565,3,25.0,26.7,30.0
18102,3,25.0,22.3,30.0
2130,2,25.5,25.5,29.0
18403,3,26.0,25.7,30.0
18155,3,26.0,22.0,28.0
2510,3,26.0,26.0,37.0
9648,3,26.0,24.7,30.0
9572,3,27.0,32.0,42.0
2518,3,27.0,30.3,52.0
25613,3,27.0,28.7,35.0
25504,3,27.0,33.0,53.0
23602,3,27.0,25.3,32.0
2502,3,27.0,33.3,53.0
2213,3,27.0,29.7,37.0
18166,3,28.0,27.3,31.0
19006,3,28.0,29.0,33.0
19401,3,28.0,25.0,31.0
18121,3,28.0,27.0,33.0
15005,3,28.0,28.7,41.0
18308,3,28.0,25.0,44.0
18316,3,28.0,29.0,33.0
18387,3,28.0,31.7,45.0
2160,3,28.0,29.7,33.0
21542,3,28.0,28.3,30.0
21021,3,28.0,25.7,29.0
25129,3,28.0,22.3,31.0
9747,3,28.0,32.7,44.0
25103,3,28.0,27.7,41.0
25130,3,28.0,26.7,46.0
9653,3,28.0,28.0,30.0
9664,3,28.0,24.0,30.0
2171,3,29.0,29.3,30.0
2194,3,29.0,21.7,34.0
18369,3,29.0,30.3,36.0
18307,3,29.0,28.7,37.0
18138,3,29.0,35.3,50.0
19140,3,29.0,26.0,30.0
18343,3,29.0,29.7,31.0
19001,3,29.0,20.3,30.0
19018,3,29.0,20.7,29.0
19032,3,29.0,29.7,31.0
18168,3,29.0,27.7,30.0
16120,3,29.0,25.3,29.0
18015,3,29.0,25.0,31.0
18145,3,29.0,22.0,30.0
18110,3,29.0,29.0,30.0
16050,3,29.0,26.3,30.0
12017,3,29.0,27.3,38.0
12005,3,29.0,29.3,36.0
15003,3,29.0,22.7,37.0
14025,3,29.0,23.3,31.0
16037,3,29.0,28.7,35.0
12014,3,29.0,23.7,30.0
23005,3,29.0,25.0,30.0
2286,3,29.0,24.7,30.0
