filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_17_175459.parquet,OK,35891,834,False,False,,0,2026-05-14T17:54:59.192399+00:00,2026-05-14T17:54:59.192399+00:00,181
vehicle_positions_17_175530.parquet,OK,35734,832,False,False,,0,2026-05-14T17:55:30.213845+00:00,2026-05-14T17:55:30.213845+00:00,180
vehicle_positions_17_175932.parquet,OK,35406,830,False,False,,0,2026-05-14T17:59:31.323288+00:00,2026-05-14T17:59:31.323288+00:00,182
vehicle_positions_18_180003.parquet,OK,35531,831,False,False,,0,2026-05-14T18:00:02.582652+00:00,2026-05-14T18:00:02.582652+00:00,182
vehicle_positions_18_180033.parquet,OK,35621,834,False,False,,0,2026-05-14T18:00:33.369891+00:00,2026-05-14T18:00:33.369891+00:00,182
vehicle_positions_18_180106.parquet,OK,35669,836,False,False,,0,2026-05-14T18:01:06.220037+00:00,2026-05-14T18:01:06.220037+00:00,182
vehicle_positions_18_180138.parquet,OK,35574,831,False,False,,0,2026-05-14T18:01:37.728775+00:00,2026-05-14T18:01:37.728775+00:00,182
vehicle_positions_18_180208.parquet,OK,35705,833,False,False,,0,2026-05-14T18:02:08.460536+00:00,2026-05-14T18:02:08.460536+00:00,182
vehicle_positions_18_180240.parquet,OK,35718,833,False,False,,0,2026-05-14T18:02:39.492334+00:00,2026-05-14T18:02:39.492334+00:00,182
vehicle_positions_18_180310.parquet,OK,35709,834,False,False,,0,2026-05-14T18:03:10.385441+00:00,2026-05-14T18:03:10.385441+00:00,182
