route_id,total_records,unique_vehicles,records_per_vehicle
6641,32,8,4.0
6617,28,7,4.0
6624,28,7,4.0
6619,28,7,4.0
37807,28,7,4.0
6738,28,7,4.0
37810,24,6,4.0
6622,24,6,4.0
6703,24,6,4.0
6636,24,6,4.0
6705,22,6,3.67
46604,20,5,4.0
6618,20,5,4.0
6613,20,5,4.0
6612,20,5,4.0
6625,20,5,4.0
6712,20,5,4.0
6642,20,5,4.0
6706,20,5,4.0
6627,19,5,3.8
37808,16,4,4.0
6614,16,4,4.0
37809,16,4,4.0
6682,16,4,4.0
16717,16,4,4.0
6620,16,4,4.0
6626,16,4,4.0
38311,16,4,4.0
6667,16,4,4.0
6749,16,4,4.0
6728,16,4,4.0
6633,12,3,4.0
34542,12,3,4.0
32799,12,3,4.0
6621,12,3,4.0
6623,12,3,4.0
30055,12,3,4.0
16718,12,3,4.0
30046,12,3,4.0
6715,12,3,4.0
6700,12,3,4.0
6687,12,3,4.0
6649,12,3,4.0
6704,12,3,4.0
6630,12,3,4.0
6615,10,3,3.33
6616,10,3,3.33
6821,10,3,3.33
11692,8,2,4.0
23384,8,2,4.0
40855,8,2,4.0
18705,8,2,4.0
30037,8,2,4.0
22638,8,2,4.0
30040,8,2,4.0
6727,8,2,4.0
6692,8,2,4.0
7321,8,2,4.0
6724,8,2,4.0
6741,8,2,4.0
8290,8,2,4.0
6654,8,2,4.0
6646,8,2,4.0
6659,8,2,4.0
6668,8,2,4.0
6673,8,2,4.0
6676,8,2,4.0
6662,8,2,4.0
6651,8,2,4.0
6650,8,2,4.0
6645,8,2,4.0
33538,8,2,4.0
6677,8,2,4.0
29038,6,2,3.0
6819,5,2,2.5
39307,4,1,4.0
36799,4,1,4.0
34543,4,1,4.0
6631,4,1,4.0
16719,4,1,4.0
12940,4,1,4.0
30044,4,1,4.0
30036,4,1,4.0
30047,4,1,4.0
31818,4,1,4.0
11201,4,1,4.0
46099,4,1,4.0
6725,4,1,4.0
6637,4,1,4.0
6629,4,1,4.0
6678,4,1,4.0
6664,4,1,4.0
6663,4,1,4.0
6666,4,1,4.0
6660,4,1,4.0
6648,4,1,4.0
6647,4,1,4.0
6643,4,1,4.0
6644,4,1,4.0
6657,4,1,4.0
6652,4,1,4.0
6658,4,1,4.0
6665,4,1,4.0
6818,4,1,4.0
6680,4,1,4.0
6722,4,1,4.0
6723,4,1,4.0
6708,4,1,4.0
6707,4,1,4.0
6701,4,1,4.0
6713,4,1,4.0
6790,4,1,4.0
6748,4,1,4.0
6726,4,1,4.0
6737,4,1,4.0
6834,4,1,4.0
6796,4,1,4.0
6688,3,1,3.0
30584,2,1,2.0
