route_id,direction_id,shape_id,route_segment_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
6641,0,312527,9.5,92,13,57,22,0.197,0.181,0.0,12,85
6641,1,312530,3.5,87,1,19,67,0.336,0.313,0.011,13,87
6641,0,312527,10.0,86,33,17,36,0.182,0.139,0.011,11,83
6641,0,312527,9.0,57,0,18,39,0.341,0.312,0.172,13,57
6641,1,312530,5.0,45,1,22,22,0.262,0.231,0.051,7,45
6641,0,312527,7.0,44,5,23,16,0.215,0.175,0.003,11,44
6641,0,312527,11.0,42,11,12,19,0.221,0.183,0.001,12,39
6641,0,312527,8.0,40,4,23,13,0.217,0.231,0.0,12,40
6641,1,312530,8.5,35,16,4,15,0.225,0.2,0.048,9,34
6641,0,312527,10.5,34,0,6,28,0.293,0.281,0.14,9,34
6641,0,312527,11.5,32,0,13,19,0.259,0.282,0.104,12,31
6641,1,312530,6.0,32,0,4,28,0.357,0.349,0.134,6,32
6641,1,312530,3.0,28,1,2,25,0.412,0.478,0.0,12,28
6641,0,312527,6.0,21,0,8,13,0.267,0.261,0.122,8,21
6641,0,312527,12.5,21,11,6,4,0.152,0.083,0.055,10,21
6641,1,312530,7.5,21,1,9,11,0.253,0.261,0.059,5,21
6641,0,312527,7.5,21,0,6,15,0.341,0.344,0.171,8,21
6641,0,312527,4.5,20,2,5,13,0.278,0.251,0.051,6,20
6641,1,312530,4.0,20,0,12,8,0.276,0.178,0.14,5,20
6641,0,312527,8.5,17,1,5,11,0.274,0.344,0.0,10,17
6641,1,312530,2.0,17,0,5,12,0.307,0.296,0.142,5,17
6641,1,312530,4.5,16,0,4,12,0.317,0.344,0.171,6,16
6641,0,312527,12.0,16,1,2,13,0.331,0.35,0.079,9,16
6641,0,312527,5.5,15,1,5,9,0.283,0.28,0.085,6,15
6641,1,312530,5.5,13,0,6,7,0.252,0.344,0.129,4,13
6641,1,312530,1.5,13,0,7,6,0.242,0.142,0.139,5,13
6641,1,312530,10.5,13,0,5,8,0.355,0.421,0.219,6,13
6641,0,312527,6.5,13,0,8,5,0.237,0.173,0.171,7,13
6641,1,312530,1.0,12,0,6,6,0.272,0.247,0.141,5,12
6641,0,312527,5.0,11,2,3,6,0.238,0.288,0.0,4,11
6641,1,312530,7.0,10,0,0,10,0.349,0.346,0.256,4,10
6641,0,312527,2.5,8,0,1,7,0.391,0.436,0.236,3,8
6641,1,312530,9.0,7,0,3,4,0.288,0.351,0.14,4,7
6641,1,312530,0.5,7,4,0,3,0.227,0.083,0.055,6,7
6641,0,312527,4.0,5,0,3,2,0.296,0.221,0.22,5,5
6641,0,312527,3.5,4,0,3,1,0.275,0.225,0.212,2,4
6641,1,312530,12.5,4,1,0,3,0.316,0.37,0.081,4,4
6641,1,312530,2.5,3,0,1,2,0.339,0.39,0.151,3,3
6641,1,312530,10.0,3,0,2,1,0.298,0.224,0.224,3,3
6641,1,312530,8.0,3,0,2,1,0.258,0.148,0.139,2,3
6641,0,312527,1.0,2,0,0,2,0.305,0.305,0.27,1,2
6641,1,312530,9.5,2,0,1,1,0.334,0.334,0.228,2,2
6641,0,312527,0.5,2,0,1,1,0.239,0.239,0.117,2,2
6641,1,312530,6.5,2,0,0,2,0.342,0.342,0.342,2,2
6641,1,312530,12.0,2,0,0,2,0.308,0.308,0.291,2,2
6641,0,312527,3.0,1,0,0,1,0.445,0.445,0.445,1,1
6641,1,312530,11.0,1,1,0,0,0.089,0.089,0.089,1,1
