route_id,route_short_name,route_long_name,route_type
10232,256,Whitby Estate/Park Royal/Spuraway,3
11201,033,16th & 33rd Avenue,3
11202,042,Alma/Spanish Banks,3
11692,364,64 Avenue,3
11693,388,88 Avenue,3
11696,609,South Delta Exchange/Ladner Exchange,3
12940,595,208 Street,3
13684,414,Richmond Oval/Brighouse Station,3
13686,,Canada Line,1
16717,209,Mountain Hwy,3
16718,014,Hastings/UBC Exchange,3
16719,109,New West Station/Lougheed Station,3
17707,337,Fraser Heights/Surrey Central Station,3
18213,231,Harbourside/Lonsdale Quay,3
18705,531,White Rock Centre/Willowbrook,3
20667,555,Port Mann Express,3
22638,188,Coast Meridian Rd,3
22639,227,Lynn Valley/Phibbs Exchange,3
23384,503,Fraser Hwy Express,3
29038,342,Langley Centre/Newton Exchange,3
29039,864,Lord Tweedsmuir School Special,3
29040,840,Brookswood School Special,3
30036,170,Port Coquitlam Station/Port Coquitlam South,3
30037,171,Coquitlam Central Station/Fremont,3
30038,172,Coquitlam Central Station/Riverside,3
30039,173,Coquitlam Central Station/Cedar,3
30040,174,Coquitlam Central Station/Rocklin,3
30041,175,Coquitlam Central Station/Meridian,3
30042,179,Coquitlam Central Station/Buntzen Lake,3
30043,180,Moody Centre Station/Lougheed Station,3
30044,181,Moody Centre Station/Ioco,3
30045,182,Moody Centre Station/Belcarra,3
30046,183,Moody Centre Station/Coquitlam Central Station,3
30047,184,Moody Centre Station/Noons Creek,3
30048,185,Coquitlam Central Station/Lansdowne,3
30049,186,Coquitlam Central Station/Hampton Park,3
30050,187,Coquitlam Central Station/Parkway,3
30051,189,Coquitlam Central Station/Lafarge Park,3
30052,,Millennium Line,1
30053,,Expo Line,1
30055,023,Pacific,3
30584,191,Coquitlam Central Station/Princeton,3
31816,360,Ocean Park/Peace Arch Hospital,3
31817,361,Ocean Park/White Rock Centre,3
31818,362,Seaside/White Rock Centre,3
31819,363,Southpoint/Peace Arch Hospital,3
31820,372,Clayton Heights/Langley Centre,3
31821,733,Rock Ridge/Haney Place,3
31822,741,Anderson Creek/Haney Place,3
32799,119,Kingsway,3
33292,133,Holdom Station/Edmonds Station,3
33538,068,UBC Exchange/Wesbrook Village,3
34042,745,Haney Place/Cottonwood,3
34043,746,Haney Place/Albion,3
34044,560,Murrayville/Langley Centre,3
34045,561,Langley Centre/Brookswood,3
34540,719,Meadowtown/Fraser Way,3
34541,722,Meadowtown/Bonson,3
34542,406,Railway Ave,3
34543,408,Garden City,3
34544,282,Mt Gardner/Snug Cove,3
36799,249,Lonsdale Quay/Delbrook,3
37807,R5,Hastings St,3
37808,R1,King George Blvd,3
37809,R3,Lougheed Hwy,3
37810,R4,41st Avenue,3
38311,R2,Marine Drive,3
39304,031,Metrotown Station/River District,3
39305,222,Willingdon Express,3
39307,245,Phibbs Exchange/Capilano University,3
40855,350,White Rock Centre/Crescent Beach,3
44845,900,Bike Bus,3
45596,080,Marine Dr Express,3
46099,102,New West Station/Victoria  Hill,3
46604,R6,Scott Road,3
48855,338,East Fraser Heights/Guildford,3
53124,001,Downtown South Circulator,3
53125,011,29th Avenue Station/FIFA Fan Festival,3
53126,736,Haney Place/Golden Ears,3
53127,566,Campbell Valley/Langley Centre,3
6612,002,Macdonald,3
6613,003,Main,3
6614,004,Powell/UBC Exchange,3
6615,005,Robson,3
6616,006,Davie,3
6617,007,Nanaimo Station/Dunbar,3
6618,008,Fraser,3
6619,009,Broadway,3
6620,010,Granville,3
6621,015,Cambie,3
6622,016,29th Avenue Station/Arbutus,3
6623,017,Oak,3
6624,019,Kingsway,3
6625,020,Victoria,3
6626,022,Knight,3
6627,025,King Edward,3
6628,026,Joyce Station/29th Avenue Station,3
6629,027,Rupert,3
6630,028,Boundary,3
6631,029,Elliott/29th Avenue Station,3
6633,041,41st Avenue,3
6635,044,UBC Exchange/Downtown Express,3
6636,049,49th Avenue,3
6637,050,Waterfront Station/False Creek South,3
6638,084,4th Avenue Express,3
6641,099,Broadway B-Line,3
6642,100,Marine Drive,3
6643,101,Lougheed Station/22nd St Station,3
6644,104,22nd St Station/Annacis Island,3
6645,106,6th Street,3
6646,110,Lougheed Station/Metrotown Station,3
6647,112,12th Street,3
6648,116,North Fraser Way,3
6649,123,Canada Way,3
6650,129,Patterson Station/Holdom Station,3
6651,130,Willingdon,3
6652,134,Lake City Station/Brentwood Station,3
6654,136,Lougheed Station/Brentwood Station,3
6656,143,SFU Exchange/Burquitlam Station,3
6657,144,SFU Exchange/Metrotown Station,3
6658,145,SFU Exchange/Production Station,3
6659,151,Como Lake Ave,3
6660,152,Coquitlam Central Station/Lougheed Station,3
6661,153,Coquitlam Central Station/Braid Station,3
6662,128,8th Avenue,3
6663,155,6th Avenue,3
6664,156,Braid Station/Lougheed Station,3
6665,157,Burquitlam Station/Lougheed Station,3
6666,159,Coquitlam Central Station/Braid Station,3
6667,160,Port Coquitlam Station/Kootenay Loop,3
6668,169,Coquitlam Central Station/Braid Station,3
6672,210,Mountain Hwy Express,3
6673,211,Seymour/Phibbs Exchange/Burrard Station,3
6674,212,Dollarton Hwy,3
6675,214,Blueridge/Phibbs Exchange/Burrard Station,3
6676,228,Grand Blvd,3
6677,229,Lonsdale Ave,3
6678,230,Lonsdale Ave,3
6679,232,Grouse Mountain/Phibbs Exchange,3
6680,236,Grouse Mountain/Lonsdale Quay,3
6682,240,Lynn Valley/Downtown,3
6683,241,Upper Lonsdale/Downtown,3
6685,246,Highland/Downtown,3
6686,247,Grouse Mountain/Downtown,3
6687,250,Horseshoe Bay/Dundarave/Vancouver,3
6688,251,Queens/Park Royal,3
6689,252,Inglewood/Park Royal,3
6690,253,Caulfeild/Vancouver/Park Royal,3
6691,254,British Properties/Park Royal/Van,3
6692,255,Dundarave/Capilano University,3
6693,257,Horseshoe Bay/Vancouver Express,3
6698,301,Newton Exchange/Brighouse Station Express,3
6699,311,Scottsdale/Bridgeport Station,3
6700,312,112 Street,3
6701,314,Surrey Central Station/Sunbury,3
6702,316,116 Street,3
6703,319,Scott Road,3
6704,320,Langley/Fleetwood/Surrey Central Station,3
6705,321,King George Blvd,3
6706,323,128 Street,3
6707,324,132 Street,3
6708,325,140 Street,3
6709,326,Guildford/Surrey Central Station,3
6710,329,Surrey Central Station/Scottsdale,3
6712,335,Newton Exchange/Surrey Central Station,3
6713,340,Scottsdale/22nd St Station,3
6714,345,152 Street,3
6715,351,White Rock Centre/Bridgeport Station,3
6716,352,White Rock Centre/Bridgeport Station,3
6717,354,White Rock South/Bridgeport Station,3
6718,391,116 Street,3
6719,393,128 Street,3
6720,394,White Rock Centre/King George Station,3
6721,395,Langley Centre/King George Station,3
6722,401,Brighouse Station/One Road,3
6723,402,Brighouse Station/Two Road,3
6724,403,Bridgeport Station/Three Road,3
6725,404,Brighouse Station/Four Road,3
6726,405,Five Road/Cambie,3
6727,407,Gilbert/Bridgeport,3
6728,410,Brighouse Station/22nd St Station,3
6730,430,Metrotown Station/Brighouse Station,3
6737,501,Langley Centre/Surrey Central Station,3
6738,502,Fraser Hwy,3
6739,509,Walnut Grove/Surrey Central Station,3
6741,601,Bridgeport Station/South Delta,3
6742,602,Bridgeport Station/Tsawwassen Heights,3
6743,603,Bridgeport Station/Beach Grove,3
6744,604,Bridgeport Station/English Bluff,3
6745,606,Ladner Ring,3
6746,608,Ladner Ring,3
6747,620,Tsawwassen Ferry/Bridgeport Station Exp,3
6748,640,River Road,3
6749,701,Coquitlam Central Station/Haney Place/Maple Ridge E,3
6754,855,Elgin Park School Special,3
6761,880,Windsor School Special,3
6762,881,Carson Graham School Special,3
6770,WCE,West Coast Express,2
6771,,SeaBus,4
6776,131,Hastings @ Gilmore/Kootenay Loop,3
6777,280,Bluewater/Snug Cove,3
6778,281,Eagle Cliff/Snug Cove,3
6779,262,Lions Bay/Caulfeild,3
6780,215,Indian River/Phibbs Exchange,3
6790,103,New West Station/Quayside,3
6796,105,New West Station/Uptown,3
6799,743,Haney Place/Meadowtown,3
6800,744,Haney Place/Meadowtown,3
6804,748,Thornhill/Haney Place,3
6805,749,Ruskin/Haney Place,3
6806,148,Royal Oak Station/Edmonds Station,3
6811,146,Metrotown Station/Suncrest,3
6814,562,Langley Centre/Walnut Grove,3
6815,563,Langley Centre/Fernridge,3
6816,564,Langley Centre/Willowbrook,3
6817,147,Metrotown Station/Edmonds Station,3
6818,371,Surrey Central Station/Scott Rd Station,3
6819,373,Guildford/Surrey Central Station,3
6821,322,Newton Exchange/Scottsdale,3
6822,310,Scottsdale/Ladner,3
6823,616,Ladner South/Ladner Exchange,3
6825,618,Ladner North/Ladner Exchange,3
6827,412,Bridgeport Station/Sea Island South,3
6828,413,Riverport/Steveston,3
6829,416,East Cambie/Brighouse Station,3
6830,N10,Granville-YVR,3
6831,N15,Cambie,3
6833,N17,West Broadway,3
6834,N19,Kingsway,3
6835,N20,Victoria,3
6836,N22,Macdonald,3
6837,N24,Downtown/Lynn Valley,3
6838,N35,Hastings St,3
6840,N8,Fraser,3
6841,N9,Broadway-Lougheed,3
6843,614,English Bluff/South Delta Exchange,3
6844,619,South Delta Exchange/Boundary Bay,3
7224,791,Haney Place/Braid Station,3
7321,375,152 Street,3
7322,132,Capitol Hill/Hastings @ Gilmore,3
7509,150,Coquitlam Central Station/White Pine Beach,3
8286,370,Cloverdale/Willowbrook,3
8289,865,Samuel Robertson School Special,3
8290,341,Guildford/Newton Exchange,3
9745,418,Kingswood/22nd St Station,3
HD,HD,HandyDART,715
