route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km,eligible_days
10232,256,Whitby Estate/Park Royal/Spuraway,0,317882,44,234,11.67,5
10232,256,Whitby Estate/Park Royal/Spuraway,0,312879,44,234,11.67,5
10232,256,Whitby Estate/Park Royal/Spuraway,1,317884,44,123,6.01,5
10232,256,Whitby Estate/Park Royal/Spuraway,1,312883,44,123,6.01,5
11201,033,16th & 33rd Avenue,0,312478,133,310,17.75,5
11201,033,16th & 33rd Avenue,0,317484,133,310,17.75,5
11201,033,16th & 33rd Avenue,1,312479,132,307,17.98,5
11201,033,16th & 33rd Avenue,1,317485,132,307,17.98,5
11692,364,64 Avenue,0,313036,139,228,21.22,5
11692,364,64 Avenue,0,318046,139,228,21.22,5
11692,364,64 Avenue,1,318047,125,221,22.0,5
11692,364,64 Avenue,1,313037,124,221,22.0,5
11696,609,South Delta Exchange/Ladner Exchange,0,313243,97,236,18.34,5
11696,609,South Delta Exchange/Ladner Exchange,0,318254,97,236,18.34,5
11696,609,South Delta Exchange/Ladner Exchange,1,313244,100,255,18.32,5
11696,609,South Delta Exchange/Ladner Exchange,1,318255,100,255,18.32,5
12940,595,208 Street,0,318223,90,295,17.52,5
12940,595,208 Street,0,313211,90,295,17.52,5
12940,595,208 Street,0,318222,14,333,18.86,5
12940,595,208 Street,0,313212,13,333,18.86,5
12940,595,208 Street,1,318225,90,260,16.28,5
12940,595,208 Street,1,313213,90,260,16.28,5
12940,595,208 Street,1,313214,13,288,17.74,5
12940,595,208 Street,1,318224,13,288,17.74,5
13684,414,Richmond Oval/Brighouse Station,0,313145,44,78,5.21,5
13684,414,Richmond Oval/Brighouse Station,0,318153,44,78,5.21,5
13684,414,Richmond Oval/Brighouse Station,1,313146,22,80,3.75,5
13684,414,Richmond Oval/Brighouse Station,1,313147,22,71,3.11,5
13684,414,Richmond Oval/Brighouse Station,1,318155,22,71,3.11,5
13684,414,Richmond Oval/Brighouse Station,1,318156,22,80,3.75,5
16718,014,Hastings/UBC Exchange,0,312332,190,267,18.55,5
16718,014,Hastings/UBC Exchange,0,318537,190,265,18.45,5
16718,014,Hastings/UBC Exchange,0,318499,75,91,6.49,5
16718,014,Hastings/UBC Exchange,0,317332,72,178,12.05,5
16718,014,Hastings/UBC Exchange,0,312335,45,178,12.05,5
16718,014,Hastings/UBC Exchange,0,312334,42,178,12.13,5
16718,014,Hastings/UBC Exchange,0,318539,15,148,9.76,5
16718,014,Hastings/UBC Exchange,0,317333,15,178,12.13,5
16718,014,Hastings/UBC Exchange,0,312336,15,150,9.86,5
16718,014,Hastings/UBC Exchange,0,312333,2,236,16.18,5
16718,014,Hastings/UBC Exchange,0,318538,2,237,16.14,5
16718,014,Hastings/UBC Exchange,1,318540,183,254,18.53,5
16718,014,Hastings/UBC Exchange,1,312346,183,256,18.41,5
16718,014,Hastings/UBC Exchange,1,317345,79,175,12.43,5
16718,014,Hastings/UBC Exchange,1,318500,69,107,7.84,5
16718,014,Hastings/UBC Exchange,1,312347,50,177,12.3,5
16718,014,Hastings/UBC Exchange,1,312348,46,175,12.43,5
16718,014,Hastings/UBC Exchange,1,317346,17,177,12.3,5
16719,109,New West Station/Lougheed Station,0,317557,87,166,7.36,5
16719,109,New West Station/Lougheed Station,0,312557,87,166,7.36,5
16719,109,New West Station/Lougheed Station,1,317558,87,161,7.17,5
16719,109,New West Station/Lougheed Station,1,312558,87,161,7.17,5
17707,337,Fraser Heights/Surrey Central Station,0,318001,177,138,9.35,5
17707,337,Fraser Heights/Surrey Central Station,0,312992,176,138,9.35,5
17707,337,Fraser Heights/Surrey Central Station,0,317999,11,107,6.42,5
17707,337,Fraser Heights/Surrey Central Station,0,312994,11,107,6.42,5
17707,337,Fraser Heights/Surrey Central Station,0,312993,4,97,5.85,5
17707,337,Fraser Heights/Surrey Central Station,0,318000,4,97,5.85,5
17707,337,Fraser Heights/Surrey Central Station,1,318003,176,130,9.23,5
17707,337,Fraser Heights/Surrey Central Station,1,312996,175,130,9.23,5
17707,337,Fraser Heights/Surrey Central Station,1,312997,11,88,6.35,5
17707,337,Fraser Heights/Surrey Central Station,1,318002,11,88,6.35,5
17707,337,Fraser Heights/Surrey Central Station,1,318004,5,135,9.61,5
17707,337,Fraser Heights/Surrey Central Station,1,312995,5,135,9.61,5
18705,531,White Rock Centre/Willowbrook,0,318197,114,244,22.99,5
18705,531,White Rock Centre/Willowbrook,0,313188,114,244,22.99,5
18705,531,White Rock Centre/Willowbrook,0,318198,2,128,8.26,5
18705,531,White Rock Centre/Willowbrook,0,313187,2,128,8.26,5
18705,531,White Rock Centre/Willowbrook,0,318199,1,98,6.64,5
18705,531,White Rock Centre/Willowbrook,0,313186,1,98,6.64,5
18705,531,White Rock Centre/Willowbrook,1,318201,97,267,23.54,5
18705,531,White Rock Centre/Willowbrook,1,313189,97,267,23.54,5
18705,531,White Rock Centre/Willowbrook,1,313190,18,260,23.14,5
18705,531,White Rock Centre/Willowbrook,1,318200,18,260,23.14,5
20667,555,Port Mann Express,0,313191,131,399,22.29,5
20667,555,Port Mann Express,0,318202,131,399,22.29,5
20667,555,Port Mann Express,1,318203,132,407,22.05,5
20667,555,Port Mann Express,1,313192,132,407,22.05,5
22638,188,Coast Meridian Rd,0,317719,135,224,12.7,5
