service_date,route_id,hour_of_day,peak_period,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km
2026-05-23 00:00:00,6641,9,AM Peak,24,1,6,17,0.289,0.313
2026-05-23 00:00:00,6641,10,Off Peak,35,3,18,14,0.237,0.212
2026-05-23 00:00:00,6641,11,Off Peak,56,11,24,21,0.218,0.179
2026-05-23 00:00:00,6641,12,Off Peak,84,3,31,50,0.297,0.293
2026-05-23 00:00:00,6641,13,Off Peak,150,11,49,90,0.29,0.311
2026-05-23 00:00:00,6641,14,Off Peak,114,19,31,64,0.272,0.301
2026-05-23 00:00:00,6641,15,PM Peak,231,15,93,123,0.258,0.256
2026-05-23 00:00:00,6641,16,PM Peak,164,30,48,86,0.251,0.279
2026-05-23 00:00:00,6641,17,PM Peak,84,12,27,45,0.265,0.279
2026-05-23 00:00:00,6641,18,PM Peak,31,5,9,17,0.246,0.25
2026-05-23 00:00:00,6641,19,Off Peak,6,0,1,5,0.373,0.406
2026-05-23 00:00:00,6641,20,Off Peak,12,0,1,11,0.396,0.4
2026-05-23 00:00:00,6641,22,Off Peak,9,0,1,8,0.366,0.373
