service_date,route_id,observed_service_hours,total_observations,observation_cv,coverage_band,stability_band,valid_row_percentage,eligibility_status
2026-05-08,10232,3,209,0.7948,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,11201,3,873,0.4061,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,11692,3,842,0.6885,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,11693,2,589,0.838,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,11696,3,933,0.3366,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,12940,3,507,0.6209,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,13684,1,21,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,16717,3,1067,0.2416,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,16718,3,1443,0.3971,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,16719,3,241,0.2434,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,17707,3,553,0.7066,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,18705,3,610,0.3855,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,20667,3,452,0.5191,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,22638,3,656,0.3932,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,22639,1,9,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,23384,3,3231,0.4514,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,29038,3,821,0.7638,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,30036,3,268,0.2575,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30037,3,236,0.0745,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30038,3,232,0.3786,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30039,3,263,0.5309,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,30040,3,293,0.0871,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30043,3,715,0.4241,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30044,3,247,0.131,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30045,1,81,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30046,3,676,0.3643,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30047,3,279,0.5203,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,30048,3,296,0.2997,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30049,3,311,0.4831,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30050,3,337,0.32,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30051,3,134,0.2671,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,30055,3,1120,0.5021,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,30584,3,255,0.7305,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,31818,3,272,0.2317,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,31819,3,519,0.317,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,31821,1,52,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,31822,1,67,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,32799,3,805,0.5661,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,33292,3,564,0.3213,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,33538,3,549,0.2436,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,34042,2,65,1.2402,Low Coverage,Volatile,100.0,Not Eligible
2026-05-08,34043,1,90,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,34540,2,198,0.1143,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,34541,2,144,0.8642,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,34542,3,1119,0.4117,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,34543,3,544,0.2317,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,36799,3,161,0.3397,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,37807,3,1883,0.251,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,37808,3,1418,0.2905,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,37809,3,1348,0.2519,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,37810,3,2147,0.3479,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,38311,3,1270,0.2519,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,39304,2,179,0.6083,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,39307,3,430,0.539,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,40855,3,519,0.2573,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,46099,3,377,0.264,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,46604,3,1731,0.4077,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,48855,1,104,0.0,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6612,3,1339,0.2589,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6613,3,1696,0.306,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6614,3,1321,0.267,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6615,3,928,0.3168,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6616,3,801,0.3222,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6617,3,2087,0.2919,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6618,3,1767,0.3201,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6619,3,1868,0.2418,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6620,3,1541,0.3877,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6621,3,701,0.3296,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6622,3,2414,0.386,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6623,3,1223,0.327,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6624,3,2248,0.4151,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6625,3,2098,0.2468,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6626,3,1604,0.262,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6627,3,1647,0.4353,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6628,3,574,0.5502,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6629,3,417,0.6221,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6630,3,787,0.256,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6631,3,271,0.4451,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6633,3,1119,0.6034,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6636,3,2312,0.5965,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6637,3,797,0.3695,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6638,3,685,0.8006,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6641,3,2197,0.4791,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6642,3,1730,0.3339,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6643,3,415,0.1831,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6644,3,424,0.6396,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6645,3,886,0.4471,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6646,3,865,0.4685,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6647,3,446,0.1446,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6648,3,564,0.6866,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6649,3,932,0.8238,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6650,3,703,0.3301,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6651,3,947,0.7872,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6652,3,508,0.5788,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6654,3,602,0.3204,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6657,3,987,0.3587,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6658,3,561,0.2879,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6659,3,523,0.2424,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6660,3,377,0.4541,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6661,3,495,0.496,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6662,3,519,0.3273,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6663,3,557,0.193,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6664,3,596,0.3659,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6665,3,694,0.3636,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6666,3,736,0.5608,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6667,3,1662,0.6018,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6668,3,526,0.3018,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6673,3,362,0.6856,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6674,3,347,0.3469,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6675,3,269,0.5855,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6676,3,550,0.2354,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6677,3,514,0.2833,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6678,3,384,0.5705,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6679,3,527,0.874,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6680,3,378,0.6442,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6682,3,1332,0.4475,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6685,3,338,0.3808,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6687,3,1364,0.4864,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6688,3,243,0.294,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6689,3,173,0.6168,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6690,3,222,0.4516,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6691,3,191,0.5408,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6692,3,853,0.3876,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6693,3,872,0.7183,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6698,3,769,0.6038,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6700,3,800,0.3076,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6701,3,246,0.3034,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6702,2,199,0.5756,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6703,3,1640,0.3151,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6704,3,1113,0.6286,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6705,3,2334,0.4254,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6706,3,1814,0.3275,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6707,3,559,0.5912,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6708,3,602,0.3863,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6709,2,148,1.0129,Low Coverage,Volatile,100.0,Not Eligible
2026-05-08,6712,3,2538,0.3846,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6713,3,981,0.2954,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6714,2,325,1.2315,Low Coverage,Volatile,100.0,Not Eligible
2026-05-08,6715,3,1169,0.3481,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6722,3,534,0.2642,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6723,3,408,0.6106,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6724,3,816,0.2317,Low Coverage,Stable,100.0,Not Eligible
2026-05-08,6725,3,509,0.6281,Low Coverage,Moderate,100.0,Not Eligible
2026-05-08,6726,3,747,0.5865,Low Coverage,Moderate,100.0,Not Eligible
