route_id,direction_id,shape_id,trip_count
10232,0,312879,44
10232,0,317882,44
10232,1,317884,44
10232,1,312883,44
11201,0,317484,133
11201,0,312478,133
11201,1,312479,132
11201,1,317485,132
11202,0,317493,108
11202,0,312487,58
11202,1,317494,108
11202,1,312488,58
11692,0,318046,139
11692,0,313036,139
11692,1,318047,125
11692,1,313037,124
11693,0,313054,34
11693,0,318064,34
11693,1,313056,32
11693,1,318065,32
11696,0,313243,97
11696,0,318254,97
11696,1,318255,100
11696,1,313244,100
12940,0,313211,90
12940,0,318223,90
12940,0,318222,14
12940,0,313212,13
12940,1,318225,90
12940,1,313213,90
12940,1,313214,13
12940,1,318224,13
13684,0,313145,44
13684,0,318153,44
13684,1,318155,22
13684,1,318156,22
13684,1,313147,22
13684,1,313146,22
13686,0,313353,408
13686,0,318362,408
13686,0,313352,408
13686,0,318361,408
13686,0,318363,3
13686,0,313350,3
13686,0,318364,3
13686,0,313351,3
13686,1,313357,420
13686,1,318366,420
13686,1,313356,408
13686,1,318367,408
13686,1,318369,13
13686,1,313354,13
13686,1,318368,7
13686,1,313355,7
16717,0,317725,29
16717,0,312725,29
16717,1,312730,18
16717,1,317726,18
16717,1,312726,13
16717,1,317730,13
16717,1,312728,8
16717,1,317728,8
16717,1,312727,3
16717,1,317729,3
16718,0,318537,190
16718,0,312332,190
16718,0,318499,75
16718,0,317332,72
16718,0,312335,45
16718,0,312334,42
16718,0,312336,15
16718,0,317333,15
16718,0,318539,15
16718,0,312333,2
16718,0,318538,2
16718,1,312346,183
16718,1,318540,183
16718,1,317345,79
16718,1,318500,69
16718,1,312347,50
16718,1,312348,46
16718,1,317346,17
16719,0,312557,87
16719,0,317557,87
16719,1,312558,87
16719,1,317558,87
17707,0,318001,177
17707,0,312992,176
17707,0,317999,11
17707,0,312994,11
17707,0,312993,4
17707,0,318000,4
17707,1,318003,176
17707,1,312996,175
17707,1,318002,11
17707,1,312997,11
17707,1,312995,5
17707,1,318004,5
18213,0,317791,5
18213,0,312791,5
18213,1,317792,5
18213,1,312792,5
18705,0,313188,114
18705,0,318197,114
18705,0,313187,2
18705,0,318198,2
18705,0,313186,1
18705,0,318199,1
18705,1,313189,97
18705,1,318201,97
18705,1,313190,18
18705,1,318200,18
20667,0,313191,131
20667,0,318202,131
20667,1,313192,132
20667,1,318203,132
22638,0,317719,135
22638,0,312719,134
22638,1,317720,137
22638,1,312720,136
22639,0,312773,114
22639,0,317772,114
22639,1,312775,112
22639,1,317774,112
23384,0,318181,145
23384,0,313171,144
23384,0,318183,104
23384,0,313169,102
23384,0,318182,8
23384,0,313170,8
23384,0,313172,2
23384,0,318180,2
23384,1,318186,147
23384,1,313175,147
23384,1,318188,114
23384,1,313173,111
23384,1,318187,5
23384,1,313174,5
23384,1,313177,1
23384,1,318185,1
23384,1,313176,1
23384,1,318184,1
29038,0,313008,134
29038,0,318016,134
29038,0,313007,12
29038,0,318017,12
29038,1,314721,131
29038,1,318018,130
29038,1,318019,13
29038,1,313009,12
29039,1,314723,1
29039,1,318352,1
29040,1,318345,1
29040,1,313334,1
30036,0,317672,125
30036,0,312672,125
30036,1,317674,122
30036,1,312674,122
30036,1,317675,2
30036,1,312673,2
30036,1,317673,1
30036,1,312675,1
30037,0,312676,103
30037,0,317676,103
30037,1,317677,109
30037,1,312677,108
30038,0,317678,108
30038,0,312679,108
30038,0,317679,1
30038,0,312678,1
30038,1,317680,103
30038,1,312680,103
30039,0,317683,98
30039,0,312681,98
30039,0,312682,5
30039,0,317682,5
30039,1,312684,105
30039,1,317684,105
30040,0,312685,98
30040,0,317686,98
30040,0,312686,7
30040,0,317685,7
30040,1,317688,104
30040,1,312687,103
30041,0,317691,17
30041,0,312689,14
30041,0,317690,9
30041,0,312690,9
30041,1,312692,16
30041,1,317693,16
30041,1,312693,7
30041,1,317692,7
30042,0,312694,38
30042,0,317694,38
30042,1,317695,38
30042,1,312695,38
30043,0,312696,153
30043,0,317696,153
30043,1,312698,151
30043,1,317698,151
30043,1,317697,1
30043,1,312699,1
30044,0,312701,77
30044,0,318506,52
30044,0,317700,25
30044,0,317701,7
30044,0,312700,7
30044,1,312703,78
30044,1,317703,56
30044,1,317702,28
30044,1,312702,4
30045,0,312705,50
30045,0,317704,50
30045,0,317705,29
30045,0,312704,29
30045,1,317707,46
30045,1,312706,46
30045,1,317706,35
30045,1,312707,35
30046,0,317709,141
30046,0,312708,140
30046,1,317710,138
30046,1,312710,137
30047,0,317711,110
30047,0,312711,110
30047,1,317712,115
30047,1,312712,115
30048,0,312713,115
30048,0,317713,115
30048,1,312714,110
30048,1,317714,110
30049,0,317715,128
30049,0,312715,126
30049,1,317716,126
30049,1,312716,126
30050,0,312717,120
30050,0,317717,120
30050,1,312718,120
30050,1,317718,120
30051,0,312721,90
30051,0,317721,90
30051,1,317722,90
30051,1,312722,90
30052,0,318372,618
30052,0,313360,613
30052,0,313361,43
30052,0,318371,43
30052,0,318373,4
30052,0,313359,3
30052,1,318378,612
30052,1,313364,607
30052,1,313366,13
30052,1,318376,13
30052,1,318375,2
30052,1,313367,2
30053,0,318391,638
30053,0,313374,630
30053,0,313375,285
30053,0,318390,285
30053,0,313382,200
30053,0,318383,200
30053,0,313373,24
30053,0,318392,24
30053,0,313371,20
30053,0,318394,20
30053,0,318396,18
30053,0,318393,11
30053,0,313372,11
30053,0,313369,10
30053,0,318381,6
30053,0,313384,6
30053,0,313383,5
30053,0,318382,5
30053,0,318385,4
30053,0,313380,4
30053,0,313379,1
30053,0,318386,1
30053,1,313392,625
30053,1,318409,625
30053,1,318408,294
30053,1,313393,294
30053,1,313402,198
30053,1,318399,198
30053,1,318413,32
30053,1,313388,23
30053,1,318400,22
30053,1,313401,17
30053,1,313391,16
30053,1,318410,16
30053,1,318411,2
30053,1,313390,2
30053,1,318402,1
30053,1,318401,1
30053,1,318403,1
30053,1,313399,1
30053,1,313398,1
30053,1,318414,1
30053,1,313387,1
30053,1,313400,1
30053,1,318415,1
30053,1,313386,1
30055,0,318495,288
30055,0,312444,259
30055,0,318496,247
30055,1,318497,288
30055,1,312445,259
30055,1,318498,247
30584,0,317723,101
30584,0,312723,101
30584,1,312724,101
30584,1,317724,101
31816,0,313028,53
31816,0,318037,53
31816,0,313027,1
31816,0,318038,1
31816,1,313029,52
31816,1,318039,52
31817,0,318040,54
31817,0,313030,54
31817,1,318041,53
31817,1,313031,53
31818,0,318042,124
31818,0,313032,92
31818,1,318043,123
31818,1,313033,91
31819,0,318044,101
31819,0,313034,101
31819,1,313035,101
31819,1,318045,101
31820,0,318054,90
31820,0,313044,90
31820,1,318055,86
31820,1,313045,86
31821,0,313287,62
31821,0,318297,62
31821,0,318298,6
31821,0,313286,5
31821,0,318296,1
31821,0,313288,1
31821,1,313290,61
31821,1,318300,61
31821,1,313289,5
31821,1,318301,5
31821,1,313291,2
31821,1,318299,2
31822,0,318303,67
31822,0,313293,65
31822,0,318302,5
31822,0,313294,5
31822,0,313292,1
31822,0,318304,1
31822,1,318306,62
31822,1,313296,62
31822,1,318307,5
31822,1,313295,5
31822,1,313297,4
31822,1,318305,4
32799,0,317575,247
32799,0,312575,247
32799,1,312576,243
32799,1,317576,243
33292,0,312609,86
33292,0,317607,86
33292,0,317608,33
33292,0,312608,33
33292,0,312607,1
33292,0,317609,1
33292,1,317610,90
33292,1,312611,88
33292,1,312610,33
33292,1,317611,33
33538,0,312517,183
33538,0,317515,183
33538,1,317516,183
33538,1,312518,183
34042,0,318315,52
34042,0,313306,51
34042,0,318316,1
34042,0,313305,1
34042,1,318317,29
34042,1,313310,29
34042,1,313309,19
34042,1,318318,19
34042,1,318319,2
34042,1,313308,2
34042,1,318320,1
34042,1,313307,1
34043,0,318321,37
34043,0,313312,36
34043,0,318322,12
34043,0,313311,12
34043,1,313316,25
34043,1,318325,25
34043,1,318324,13
34043,1,318326,12
34043,1,313315,12
34043,1,313317,12
34043,1,318323,2
34043,1,313318,2
34043,1,318327,1
34043,1,313314,1
34044,0,318204,51
34044,0,313193,51
34044,1,318205,51
34044,1,313194,51
34045,0,318206,51
34045,0,313196,51
34045,0,313195,1
34045,0,318207,1
34045,1,313197,51
34045,1,318208,51
34540,0,318292,66
34540,0,313282,66
34540,1,318293,66
34540,1,313283,66
34541,0,318294,66
34541,0,313284,66
34541,1,313285,66
34541,1,318295,66
34542,0,318109,234
34542,0,313098,234
34542,1,318110,234
34542,1,313100,233
34542,1,318111,2
34542,1,313099,2
34543,0,318130,70
34543,0,313118,70
34543,0,318129,68
34543,0,313119,67
34543,0,318128,34
34543,0,313120,34
34543,0,313117,2
34543,0,318131,2
34543,1,318133,103
34543,1,313122,103
34543,1,313121,69
34543,1,318134,69
34543,1,318132,2
34543,1,313123,2
34544,0,312899,12
34544,0,317899,12
34544,1,317900,12
34544,1,312900,12
36799,0,317830,111
36799,0,312831,110
36799,1,317832,107
36799,1,312832,107
37807,0,318471,243
37807,0,313454,243
37807,0,318481,176
37807,0,318470,36
37807,0,318469,26
37807,0,313456,26
37807,0,313457,23
37807,0,318468,23
37807,0,313455,17
37807,0,313458,10
37807,0,318467,10
37807,1,318476,235
37807,1,313460,235
37807,1,318482,195
37807,1,318475,27
37807,1,313461,27
37807,1,318473,21
37807,1,313463,21
37807,1,318472,8
37807,1,313464,8
37807,1,318474,3
37807,1,313462,3
37808,0,318452,223
37808,0,313443,223
37808,0,318453,59
37808,0,313442,59
37808,0,318455,17
37808,0,313440,17
37808,0,313441,2
37808,0,318454,2
37808,1,313445,282
