route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
10232,256,Whitby Estate/Park Royal/Spuraway,0,317882,44,234,11.67
10232,256,Whitby Estate/Park Royal/Spuraway,0,312879,44,234,11.67
10232,256,Whitby Estate/Park Royal/Spuraway,1,317884,44,123,6.01
10232,256,Whitby Estate/Park Royal/Spuraway,1,312883,44,123,6.01
11201,033,16th & 33rd Avenue,0,312478,133,310,17.75
11201,033,16th & 33rd Avenue,0,317484,133,310,17.75
11201,033,16th & 33rd Avenue,1,312479,132,307,17.98
11201,033,16th & 33rd Avenue,1,317485,132,307,17.98
11202,042,Alma/Spanish Banks,0,317493,108,91,3.78
11202,042,Alma/Spanish Banks,0,312487,58,91,3.78
11202,042,Alma/Spanish Banks,1,317494,108,76,3.22
11202,042,Alma/Spanish Banks,1,312488,58,76,3.22
11692,364,64 Avenue,0,313036,139,228,21.22
11692,364,64 Avenue,0,318046,139,228,21.22
11692,364,64 Avenue,1,318047,125,221,22.0
11692,364,64 Avenue,1,313037,124,221,22.0
11693,388,88 Avenue,0,313054,34,551,34.49
11693,388,88 Avenue,0,318064,34,551,34.49
11693,388,88 Avenue,1,318065,32,507,33.38
11693,388,88 Avenue,1,313056,32,507,33.38
11696,609,South Delta Exchange/Ladner Exchange,0,313243,97,236,18.34
11696,609,South Delta Exchange/Ladner Exchange,0,318254,97,236,18.34
11696,609,South Delta Exchange/Ladner Exchange,1,313244,100,255,18.32
11696,609,South Delta Exchange/Ladner Exchange,1,318255,100,255,18.32
12940,595,208 Street,0,318223,90,295,17.52
12940,595,208 Street,0,313211,90,295,17.52
12940,595,208 Street,0,318222,14,333,18.86
12940,595,208 Street,0,313212,13,333,18.86
12940,595,208 Street,1,318225,90,260,16.28
12940,595,208 Street,1,313213,90,260,16.28
12940,595,208 Street,1,313214,13,288,17.74
12940,595,208 Street,1,318224,13,288,17.74
13684,414,Richmond Oval/Brighouse Station,0,313145,44,78,5.21
13684,414,Richmond Oval/Brighouse Station,0,318153,44,78,5.21
13684,414,Richmond Oval/Brighouse Station,1,313146,22,80,3.75
13684,414,Richmond Oval/Brighouse Station,1,313147,22,71,3.11
13684,414,Richmond Oval/Brighouse Station,1,318155,22,71,3.11
13684,414,Richmond Oval/Brighouse Station,1,318156,22,80,3.75
13686,,Canada Line,0,313352,408,270,14.34
13686,,Canada Line,0,318362,408,270,14.34
13686,,Canada Line,0,313353,408,259,15.07
13686,,Canada Line,0,318361,408,259,15.07
13686,,Canada Line,0,313351,3,57,4.18
13686,,Canada Line,0,318363,3,57,4.18
13686,,Canada Line,0,318364,3,68,3.45
13686,,Canada Line,0,313350,3,68,3.45
13686,,Canada Line,1,318366,420,259,15.07
13686,,Canada Line,1,313357,420,259,15.07
13686,,Canada Line,1,313356,408,270,14.34
13686,,Canada Line,1,318367,408,270,14.34
13686,,Canada Line,1,313354,13,68,3.45
13686,,Canada Line,1,318369,13,68,3.45
13686,,Canada Line,1,318368,7,57,4.18
13686,,Canada Line,1,313355,7,57,4.18
16717,209,Mountain Hwy,0,317725,29,368,18.49
16717,209,Mountain Hwy,0,312725,29,368,18.49
16717,209,Mountain Hwy,1,312730,18,362,18.05
16717,209,Mountain Hwy,1,317726,18,362,18.05
16717,209,Mountain Hwy,1,317730,13,362,18.05
16717,209,Mountain Hwy,1,312726,13,362,18.05
16717,209,Mountain Hwy,1,317728,8,168,7.93
16717,209,Mountain Hwy,1,312728,8,168,7.93
16717,209,Mountain Hwy,1,317729,3,199,10.18
16717,209,Mountain Hwy,1,312727,3,199,10.18
16718,014,Hastings/UBC Exchange,0,312332,190,267,18.55
16718,014,Hastings/UBC Exchange,0,318537,190,265,18.45
16718,014,Hastings/UBC Exchange,0,318499,75,91,6.49
16718,014,Hastings/UBC Exchange,0,317332,72,178,12.05
16718,014,Hastings/UBC Exchange,0,312335,45,178,12.05
16718,014,Hastings/UBC Exchange,0,312334,42,178,12.13
16718,014,Hastings/UBC Exchange,0,318539,15,148,9.76
16718,014,Hastings/UBC Exchange,0,317333,15,178,12.13
16718,014,Hastings/UBC Exchange,0,312336,15,150,9.86
16718,014,Hastings/UBC Exchange,0,312333,2,236,16.18
16718,014,Hastings/UBC Exchange,0,318538,2,237,16.14
16718,014,Hastings/UBC Exchange,1,318540,183,254,18.53
16718,014,Hastings/UBC Exchange,1,312346,183,256,18.41
16718,014,Hastings/UBC Exchange,1,317345,79,175,12.43
16718,014,Hastings/UBC Exchange,1,318500,69,107,7.84
16718,014,Hastings/UBC Exchange,1,312347,50,177,12.3
16718,014,Hastings/UBC Exchange,1,312348,46,175,12.43
16718,014,Hastings/UBC Exchange,1,317346,17,177,12.3
16719,109,New West Station/Lougheed Station,0,317557,87,166,7.36
16719,109,New West Station/Lougheed Station,0,312557,87,166,7.36
16719,109,New West Station/Lougheed Station,1,317558,87,161,7.17
16719,109,New West Station/Lougheed Station,1,312558,87,161,7.17
17707,337,Fraser Heights/Surrey Central Station,0,318001,177,138,9.35
17707,337,Fraser Heights/Surrey Central Station,0,312992,176,138,9.35
17707,337,Fraser Heights/Surrey Central Station,0,317999,11,107,6.42
17707,337,Fraser Heights/Surrey Central Station,0,312994,11,107,6.42
17707,337,Fraser Heights/Surrey Central Station,0,312993,4,97,5.85
17707,337,Fraser Heights/Surrey Central Station,0,318000,4,97,5.85
