service_date,route_id,observed_service_hours,total_observations,avg_hourly_observations,stddev_hourly_observations,avg_hourly_vehicles,avg_hourly_trips,observation_cv,coverage_band,stability_band
2026-05-08,10232,3,209,69.67,55.37,1.0,2.0,0.7948,Low Coverage,Moderate
2026-05-08,11201,3,873,291.0,118.19,3.67,5.67,0.4061,Low Coverage,Stable
2026-05-08,11692,3,842,280.67,193.24,4.0,5.33,0.6885,Low Coverage,Moderate
2026-05-08,11693,2,589,294.5,246.78,4.5,5.5,0.838,Low Coverage,Moderate
2026-05-08,11696,3,933,311.0,104.68,4.0,7.0,0.3366,Low Coverage,Stable
2026-05-08,12940,3,507,169.0,104.93,2.67,4.33,0.6209,Low Coverage,Moderate
2026-05-08,13684,1,21,21.0,0.0,1.0,1.0,0.0,Low Coverage,Stable
2026-05-08,16717,3,1067,355.67,85.94,4.0,8.0,0.2416,Low Coverage,Stable
2026-05-08,16718,3,1443,481.0,191.0,5.67,11.33,0.3971,Low Coverage,Stable
2026-05-08,16719,3,241,80.33,19.55,1.33,2.67,0.2434,Low Coverage,Stable
2026-05-08,17707,3,553,184.33,130.25,3.33,6.0,0.7066,Low Coverage,Moderate
2026-05-08,18705,3,610,203.33,78.39,3.0,4.67,0.3855,Low Coverage,Stable
2026-05-08,20667,3,452,150.67,78.21,2.0,5.0,0.5191,Low Coverage,Moderate
2026-05-08,22638,3,656,218.67,85.98,3.33,6.0,0.3932,Low Coverage,Stable
2026-05-08,22639,1,9,9.0,0.0,1.0,1.0,0.0,Low Coverage,Stable
2026-05-08,23384,3,3231,1077.0,486.11,14.0,20.0,0.4514,Low Coverage,Stable
2026-05-08,29038,3,821,273.67,209.02,4.0,5.0,0.7638,Low Coverage,Moderate
2026-05-08,30036,3,268,89.33,23.01,1.0,4.67,0.2575,Low Coverage,Stable
2026-05-08,30037,3,236,78.67,5.86,3.33,3.33,0.0745,Low Coverage,Stable
2026-05-08,30038,3,232,77.33,29.28,2.33,2.67,0.3786,Low Coverage,Stable
2026-05-08,30039,3,263,87.67,46.54,2.0,2.0,0.5309,Low Coverage,Moderate
2026-05-08,30040,3,293,97.67,8.5,3.0,4.0,0.0871,Low Coverage,Stable
2026-05-08,30043,3,715,238.33,101.08,5.33,7.0,0.4241,Low Coverage,Stable
2026-05-08,30044,3,247,82.33,10.79,1.33,2.67,0.131,Low Coverage,Stable
2026-05-08,30045,1,81,81.0,0.0,1.0,2.0,0.0,Low Coverage,Stable
2026-05-08,30046,3,676,225.33,82.08,4.33,6.67,0.3643,Low Coverage,Stable
2026-05-08,30047,3,279,93.0,48.38,3.33,4.33,0.5203,Low Coverage,Moderate
2026-05-08,30048,3,296,98.67,29.57,2.67,4.67,0.2997,Low Coverage,Stable
2026-05-08,30049,3,311,103.67,50.08,3.0,4.67,0.4831,Low Coverage,Stable
2026-05-08,30050,3,337,112.33,35.95,2.67,4.0,0.32,Low Coverage,Stable
2026-05-08,30051,3,134,44.67,11.93,1.0,2.0,0.2671,Low Coverage,Stable
2026-05-08,30055,3,1120,373.33,187.45,4.67,14.0,0.5021,Low Coverage,Moderate
2026-05-08,30584,3,255,85.0,62.1,2.0,3.0,0.7305,Low Coverage,Moderate
