shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
318417,1812,1,1812,0.0,67.9316,67.93
318416,1812,1,1812,0.0,67.9316,67.93
313404,1812,1,1812,0.0,67.9316,67.93
313405,1812,1,1812,0.0,67.9316,67.93
313024,466,1,466,0.0,45.7724,45.77
318034,466,1,466,0.0,45.7724,45.77
313277,563,1,563,0.0,45.342,45.34
318291,563,1,563,0.0,45.342,45.34
313026,409,1,409,0.0,45.1465,45.15
318035,409,1,409,0.0,45.1465,45.15
318286,563,1,563,0.0,44.8367,44.84
313272,563,1,563,0.0,44.8367,44.84
318032,401,1,401,0.0,43.9097,43.91
313022,401,1,401,0.0,43.9097,43.91
313023,342,1,342,0.0,43.2723,43.27
318033,342,1,342,0.0,43.2723,43.27
318282,508,1,508,0.0,39.9894,39.99
313276,508,1,508,0.0,39.9894,39.99
313019,375,1,375,0.0,38.9646,38.96
313018,375,1,375,0.0,38.9646,38.96
318029,375,1,375,0.0,38.9646,38.96
318028,375,1,375,0.0,38.9646,38.96
313020,305,1,305,0.0,37.4192,37.42
318030,305,1,305,0.0,37.4192,37.42
313021,305,1,305,0.0,37.4192,37.42
318031,305,1,305,0.0,37.4192,37.42
313175,421,1,421,0.0,36.5733,36.57
318186,421,1,421,0.0,36.5733,36.57
318450,601,1,601,0.0,35.4722,35.47
313437,601,1,601,0.0,35.4722,35.47
318064,551,1,551,0.0,34.4855,34.49
313054,551,1,551,0.0,34.4855,34.49
318451,584,1,584,0.0,33.826,33.83
313439,584,1,584,0.0,33.826,33.83
313171,349,1,349,0.0,33.8112,33.81
318181,349,1,349,0.0,33.8112,33.81
318065,507,1,507,0.0,33.3823,33.38
313056,507,1,507,0.0,33.3823,33.38
317940,468,1,468,0.0,30.9805,30.98
312947,468,1,468,0.0,30.9805,30.98
318227,363,1,363,0.0,30.6326,30.63
313220,363,1,363,0.0,30.6326,30.63
318228,376,1,376,0.0,30.4027,30.4
313221,376,1,376,0.0,30.4027,30.4
313219,376,1,376,0.0,30.4027,30.4
318226,376,1,376,0.0,30.4027,30.4
318237,346,1,346,0.0,29.9842,29.98
313225,346,1,346,0.0,29.9842,29.98
313223,346,1,346,0.0,29.9842,29.98
318235,346,1,346,0.0,29.9842,29.98
318432,524,1,524,0.0,29.9603,29.96
313420,524,1,524,0.0,29.9603,29.96
312948,451,1,451,0.0,29.9506,29.95
317956,451,1,451,0.0,29.9506,29.95
312953,490,1,490,0.0,29.8647,29.86
317951,490,1,490,0.0,29.8647,29.86
318236,331,1,331,0.0,29.795,29.8
313224,331,1,331,0.0,29.795,29.8
317901,401,1,401,0.0,29.6955,29.7
312901,401,1,401,0.0,29.6955,29.7
313419,518,1,518,0.0,29.6186,29.62
318430,518,1,518,0.0,29.6186,29.62
317902,385,1,385,0.0,29.3919,29.39
312902,385,1,385,0.0,29.3919,29.39
312909,255,1,255,0.0,29.1678,29.17
317909,255,1,255,0.0,29.1678,29.17
318390,695,1,695,0.0,29.1298,29.13
313375,695,1,695,0.0,29.1298,29.13
313393,695,1,695,0.0,29.1298,29.13
318408,695,1,695,0.0,29.1298,29.13
317908,269,1,269,0.0,29.0351,29.04
312908,269,1,269,0.0,29.0351,29.04
318241,349,1,349,0.0,28.4192,28.42
313232,349,1,349,0.0,28.4192,28.42
318359,310,1,310,0.0,28.3697,28.37
318409,757,1,757,0.0,28.3675,28.37
313392,757,1,757,0.0,28.3675,28.37
318266,310,1,310,0.0,28.3697,28.37
313255,310,1,310,0.0,28.3697,28.37
313374,757,1,757,0.0,28.3675,28.37
318391,757,1,757,0.0,28.3675,28.37
313162,512,1,512,0.0,27.9189,27.92
318168,512,1,512,0.0,27.9189,27.92
317945,384,1,384,0.0,27.7355,27.74
312942,384,1,384,0.0,27.7355,27.74
318360,258,1,258,0.0,27.5202,27.52
318249,280,1,280,0.0,27.5145,27.51
318396,625,1,625,0.0,27.5063,27.51
313369,625,1,625,0.0,27.5063,27.51
313237,280,1,280,0.0,27.5145,27.51
318402,723,1,723,0.0,27.4779,27.48
313399,723,1,723,0.0,27.4779,27.48
318267,252,1,252,0.0,27.307,27.31
313256,252,1,252,0.0,27.307,27.31
318344,439,1,439,0.0,27.2905,27.29
313333,439,1,439,0.0,27.2905,27.29
318173,417,1,417,0.0,27.0163,27.02
313163,417,1,417,0.0,27.0163,27.02
313331,443,1,443,0.0,26.9725,26.97
318342,443,1,443,0.0,26.9725,26.97
313160,495,1,495,0.0,26.9253,26.93
318170,495,1,495,0.0,26.9253,26.93
312944,372,1,372,0.0,26.4945,26.49
317943,372,1,372,0.0,26.4945,26.49
317946,372,1,372,0.0,26.4945,26.49
312941,372,1,372,0.0,26.4945,26.49
318246,285,1,285,0.0,26.3964,26.4
313236,285,1,285,0.0,26.3964,26.4
312943,369,1,369,0.0,26.3933,26.39
317944,369,1,369,0.0,26.3933,26.39
318239,319,1,319,0.0,26.3202,26.32
313228,319,1,319,0.0,26.3202,26.32
312666,460,1,460,0.0,26.2355,26.24
317668,460,1,460,0.0,26.2355,26.24
312951,380,1,380,0.0,26.0515,26.05
317953,380,1,380,0.0,26.0515,26.05
312669,514,1,514,0.0,26.0212,26.02
317669,514,1,514,0.0,26.0212,26.02
313164,399,1,399,0.0,26.0045,26.0
318172,399,1,399,0.0,26.0045,26.0
313229,254,1,254,0.0,25.9152,25.92
318240,254,1,254,0.0,25.9152,25.92
313273,374,1,374,0.0,25.6306,25.63
318285,374,1,374,0.0,25.6306,25.63
318372,545,1,545,0.0,25.5276,25.53
313364,545,1,545,0.0,25.5276,25.53
318425,472,1,472,0.0,25.5324,25.53
313360,545,1,545,0.0,25.5276,25.53
313412,472,1,472,0.0,25.5324,25.53
318230,295,1,295,0.0,25.5323,25.53
318378,545,1,545,0.0,25.5276,25.53
313217,295,1,295,0.0,25.5323,25.53
318244,218,1,218,0.0,25.4846,25.48
313234,218,1,218,0.0,25.4846,25.48
317955,384,1,384,0.0,25.4735,25.47
312949,384,1,384,0.0,25.4735,25.47
313402,591,1,591,0.0,25.3355,25.34
313382,591,1,591,0.0,25.3355,25.34
318383,591,1,591,0.0,25.3355,25.34
318399,591,1,591,0.0,25.3355,25.34
318283,355,1,355,0.0,25.2507,25.25
313275,355,1,355,0.0,25.2507,25.25
313185,352,1,352,0.0,25.1655,25.17
318193,352,1,352,0.0,25.1655,25.17
313178,351,1,351,0.0,25.0799,25.08
318192,351,1,351,0.0,25.0799,25.08
318272,388,1,388,0.0,25.0694,25.07
313260,388,1,388,0.0,25.0694,25.07
318274,388,1,388,0.0,25.0694,25.07
313266,388,1,388,0.0,25.0694,25.07
313262,388,1,388,0.0,25.0694,25.07
318268,388,1,388,0.0,25.0694,25.07
312938,311,1,311,0.0,24.9169,24.92
318281,384,1,384,0.0,24.9214,24.92
317936,311,1,311,0.0,24.9169,24.92
313267,384,1,384,0.0,24.9214,24.92
317934,285,1,285,0.0,24.8653,24.87
312934,285,1,285,0.0,24.8653,24.87
318196,347,1,347,0.0,24.6916,24.69
313182,347,1,347,0.0,24.6916,24.69
318126,335,1,335,0.0,24.678,24.68
313108,335,1,335,0.0,24.678,24.68
318238,261,1,261,0.0,24.6065,24.61
313222,261,1,261,0.0,24.6065,24.61
312937,306,1,306,0.0,24.542,24.54
317937,306,1,306,0.0,24.542,24.54
313096,303,1,303,0.0,24.2996,24.3
318104,303,1,303,0.0,24.2996,24.3
318127,336,1,336,0.0,24.2565,24.26
313107,336,1,336,0.0,24.2565,24.26
317947,320,1,320,0.0,24.2384,24.24
312940,320,1,320,0.0,24.2384,24.24
313102,311,1,311,0.0,24.1383,24.14
318116,311,1,311,0.0,24.1383,24.14
313409,435,1,435,0.0,24.1192,24.12
318422,435,1,435,0.0,24.1192,24.12
