service_date,route_id,total_observations,unique_vehicles,unique_trips,missing_location_rows,missing_vehicle_rows,missing_route_rows,valid_row_percentage
2026-05-08,10232,209,1,4,0,0,0,100.0
2026-05-08,11201,873,4,11,0,0,0,100.0
2026-05-08,11692,842,7,11,0,0,0,100.0
2026-05-08,11693,589,6,8,0,0,0,100.0
2026-05-08,11696,933,5,15,0,0,0,100.0
2026-05-08,12940,507,5,10,0,0,0,100.0
2026-05-08,13684,21,1,1,0,0,0,100.0
2026-05-08,16717,1067,4,16,0,0,0,100.0
2026-05-08,16718,1443,6,24,0,0,0,100.0
2026-05-08,16719,241,2,6,0,0,0,100.0
2026-05-08,17707,553,7,16,0,0,0,100.0
2026-05-08,18705,610,5,10,0,0,0,100.0
2026-05-08,20667,452,2,11,0,0,0,100.0
2026-05-08,22638,656,4,13,0,0,0,100.0
2026-05-08,22639,9,1,1,0,0,0,100.0
2026-05-08,23384,3231,18,36,0,0,0,100.0
2026-05-08,29038,821,8,11,0,0,0,100.0
2026-05-08,30036,268,1,12,0,0,0,100.0
2026-05-08,30037,236,7,7,0,0,0,100.0
2026-05-08,30038,232,6,7,0,0,0,100.0
2026-05-08,30039,263,4,6,0,0,0,100.0
2026-05-08,30040,293,4,8,0,0,0,100.0
2026-05-08,30043,715,8,16,0,0,0,100.0
2026-05-08,30044,247,2,6,0,0,0,100.0
2026-05-08,30045,81,1,2,0,0,0,100.0
2026-05-08,30046,676,6,15,0,0,0,100.0
2026-05-08,30047,279,5,11,0,0,0,100.0
2026-05-08,30048,296,5,12,0,0,0,100.0
2026-05-08,30049,311,5,11,0,0,0,100.0
2026-05-08,30050,337,6,10,0,0,0,100.0
2026-05-08,30051,134,3,6,0,0,0,100.0
2026-05-08,30055,1120,6,34,0,0,0,100.0
2026-05-08,30584,255,4,7,0,0,0,100.0
2026-05-08,31818,272,1,11,0,0,0,100.0
2026-05-08,31819,519,2,11,0,0,0,100.0
2026-05-08,31821,52,1,2,0,0,0,100.0
2026-05-08,31822,67,1,2,0,0,0,100.0
2026-05-08,32799,805,6,19,0,0,0,100.0
2026-05-08,33292,564,5,13,0,0,0,100.0
2026-05-08,33538,549,3,21,0,0,0,100.0
2026-05-08,34042,65,2,3,0,0,0,100.0
2026-05-08,34043,90,2,2,0,0,0,100.0
