route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,0,313452,9.0,111,17,53,41,0.225,0.207,0.048,12,107
6641,099,Broadway B-Line,B-Line,0,312527,9.5,92,13,57,22,0.197,0.181,0.0,12,85
6641,099,Broadway B-Line,B-Line,1,312530,3.5,87,1,19,67,0.336,0.313,0.011,13,87
37810,R4,41st Avenue,RapidBus,0,313452,9.5,86,4,36,46,0.256,0.253,0.02,12,82
6641,099,Broadway B-Line,B-Line,0,312527,10.0,86,33,17,36,0.182,0.139,0.011,11,83
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,9.0,77,24,18,35,0.222,0.209,0.014,9,63
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,12.5,75,3,43,29,0.224,0.207,0.093,9,71
6624,019,Kingsway,Regular Bus,1,312413,2.5,71,16,27,28,0.238,0.216,0.034,6,71
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,8.5,58,14,31,13,0.186,0.154,0.025,7,52
6641,099,Broadway B-Line,B-Line,0,312527,9.0,57,0,18,39,0.341,0.312,0.172,13,57
37810,R4,41st Avenue,RapidBus,1,313453,9.0,53,2,27,24,0.277,0.213,0.04,11,49
37810,R4,41st Avenue,RapidBus,0,313452,11.5,48,9,8,31,0.274,0.253,0.053,12,47
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,8.0,46,7,16,23,0.238,0.25,0.047,5,39
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,10.0,46,0,20,26,0.306,0.34,0.113,9,46
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,18.0,45,10,18,17,0.222,0.187,0.019,9,45
6641,099,Broadway B-Line,B-Line,1,312530,5.0,45,1,22,22,0.262,0.231,0.051,7,45
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,9.0,44,1,12,31,0.312,0.346,0.091,4,36
6641,099,Broadway B-Line,B-Line,0,312527,7.0,44,5,23,16,0.215,0.175,0.003,11,44
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,7.0,44,4,33,7,0.21,0.164,0.086,4,32
6624,019,Kingsway,Regular Bus,1,312413,8.5,43,5,14,24,0.246,0.26,0.055,9,41
6641,099,Broadway B-Line,B-Line,0,312527,11.0,42,11,12,19,0.221,0.183,0.001,12,39
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,10.5,42,4,21,17,0.263,0.249,0.086,8,42
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,11.5,42,2,10,30,0.316,0.349,0.032,10,42
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,11.5,42,7,24,11,0.202,0.195,0.025,5,32
6642,100,Marine Drive,Regular Bus,0,312532,6.0,41,11,20,10,0.2,0.184,0.016,3,32
37810,R4,41st Avenue,RapidBus,0,313452,12.5,41,9,18,14,0.23,0.212,0.076,9,41
6641,099,Broadway B-Line,B-Line,0,312527,8.0,40,4,23,13,0.217,0.231,0.0,12,40
37810,R4,41st Avenue,RapidBus,0,313452,16.0,40,14,12,14,0.207,0.153,0.023,10,40
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,10.5,39,7,15,17,0.231,0.206,0.046,6,39
37810,R4,41st Avenue,RapidBus,1,313453,2.5,39,17,6,16,0.193,0.18,0.003,8,38
37810,R4,41st Avenue,RapidBus,1,313453,6.5,38,6,20,12,0.226,0.186,0.025,10,34
