service_date,route_id,route_short_name,route_long_name,route_type,hour_of_day,peak_period,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,8,AM Peak,21,0,4,17,0.351,0.375
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,9,AM Peak,12,0,0,12,0.392,0.418
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,10,Off Peak,2,0,0,2,0.399,0.399
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,13,Off Peak,129,6,77,46,0.241,0.213
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,14,Off Peak,82,7,40,35,0.237,0.228
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,15,PM Peak,203,32,102,69,0.21,0.181
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,16,PM Peak,197,34,73,90,0.241,0.214
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,17,PM Peak,83,6,32,45,0.267,0.272
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,18,PM Peak,45,13,20,12,0.17,0.156
2026-05-23 00:00:00,6614,004,Powell/UBC Exchange,Regular Bus,22,Off Peak,2,0,0,2,0.492,0.492
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,9,AM Peak,13,0,6,7,0.287,0.342
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,10,Off Peak,22,13,2,7,0.196,0.095
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,11,Off Peak,16,1,5,10,0.254,0.293
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,12,Off Peak,7,0,1,6,0.326,0.342
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,13,Off Peak,111,23,52,36,0.21,0.174
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,14,Off Peak,91,25,43,23,0.184,0.174
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,15,PM Peak,207,29,111,67,0.209,0.174
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,16,PM Peak,88,15,31,42,0.253,0.224
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,17,PM Peak,105,7,28,70,0.311,0.328
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,18,PM Peak,61,17,14,30,0.234,0.236
2026-05-23 00:00:00,6617,007,Nanaimo Station/Dunbar,Regular Bus,21,Off Peak,15,0,11,4,0.17,0.1
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,8,AM Peak,4,0,0,4,0.315,0.316
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,9,AM Peak,15,0,4,11,0.339,0.335
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,10,Off Peak,3,1,1,1,0.224,0.232
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,11,Off Peak,14,0,6,8,0.284,0.321
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,15,PM Peak,67,9,32,26,0.225,0.195
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,16,PM Peak,19,0,8,11,0.273,0.301
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,17,PM Peak,42,0,12,30,0.292,0.313
2026-05-23 00:00:00,6619,009,Broadway,Regular Bus,18,PM Peak,26,6,4,16,0.278,0.363
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,1,Off Peak,15,7,5,3,0.149,0.164
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,7,AM Peak,2,0,1,1,0.288,0.288
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,9,AM Peak,21,4,8,9,0.225,0.184
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,10,Off Peak,2,0,2,0,0.175,0.175
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,11,Off Peak,69,2,18,49,0.324,0.34
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,12,Off Peak,42,5,19,18,0.24,0.191
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,13,Off Peak,150,14,67,69,0.247,0.231
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,14,Off Peak,102,22,39,41,0.224,0.202
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,15,PM Peak,248,16,114,118,0.263,0.23
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,16,PM Peak,127,7,36,84,0.303,0.341
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,17,PM Peak,75,9,28,38,0.275,0.277
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,18,PM Peak,19,0,7,12,0.287,0.312
2026-05-23 00:00:00,16718,014,Hastings/UBC Exchange,Regular Bus,21,Off Peak,7,1,0,6,0.324,0.316
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,0,Off Peak,19,2,7,10,0.273,0.282
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,9,AM Peak,6,2,1,3,0.215,0.221
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,10,Off Peak,93,1,18,74,0.334,0.34
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,11,Off Peak,116,7,46,63,0.269,0.259
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,12,Off Peak,90,17,32,41,0.231,0.209
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,13,Off Peak,144,9,63,72,0.267,0.253
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,14,Off Peak,183,16,72,95,0.263,0.265
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,15,PM Peak,326,45,144,137,0.234,0.195
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,16,PM Peak,115,5,38,72,0.298,0.311
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,17,PM Peak,106,24,30,52,0.247,0.236
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,18,PM Peak,44,2,16,26,0.283,0.275
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,19,Off Peak,17,0,4,13,0.354,0.386
2026-05-23 00:00:00,6622,016,29th Avenue Station/Arbutus,Regular Bus,20,Off Peak,4,1,0,3,0.265,0.323
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,0,Off Peak,4,1,2,1,0.203,0.211
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,7,AM Peak,5,0,2,3,0.261,0.26
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,9,AM Peak,74,22,35,17,0.18,0.154
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,10,Off Peak,148,21,60,67,0.242,0.22
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,11,Off Peak,137,22,49,66,0.242,0.246
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,12,Off Peak,81,8,31,42,0.272,0.257
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,13,Off Peak,94,24,22,48,0.242,0.262
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,14,Off Peak,226,27,88,111,0.245,0.243
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,15,PM Peak,155,20,52,83,0.262,0.255
2026-05-23 00:00:00,6624,019,Kingsway,Regular Bus,16,PM Peak,61,14,18,29,0.221,0.216
