vehicle_id,total_reports,stationary_reports,primary_route,pct_stationary
9797,372,372,6676,100.0
9770,365,365,6685,100.0
9769,361,361,6651,100.0
9768,372,372,39307,100.0
9767,201,201,39305,100.0
9766,372,372,6630,100.0
9765,158,158,6677,100.0
9764,372,372,6630,100.0
9763,201,201,6651,100.0
9762,372,372,6630,100.0
9761,201,201,6678,100.0
9760,54,54,37807,100.0
9759,372,372,6682,100.0
9758,174,174,6673,100.0
9756,201,201,6672,100.0
9755,372,372,6679,100.0
9754,372,372,6682,100.0
14023,371,371,6666,100.0
14019,362,362,6749,100.0
14017,360,360,6667,100.0
14015,201,201,30046,100.0
14014,372,372,6749,100.0
14011,201,201,30043,100.0
14010,201,201,6749,100.0
14009,349,349,6643,100.0
14007,372,372,6659,100.0
14006,201,201,6665,100.0
14004,201,201,7224,100.0
14002,372,372,6646,100.0
14001,192,192,6666,100.0
12025,372,372,6636,100.0
12024,372,372,6636,100.0
12023,201,201,6636,100.0
14042,356,356,7224,100.0
14041,201,201,7224,100.0
14040,189,189,22638,100.0
14039,363,363,6660,100.0
14038,201,201,30043,100.0
14037,354,354,7224,100.0
14036,173,173,30046,100.0
14035,181,181,30046,100.0
14034,186,186,30043,100.0
14033,365,365,6659,100.0
14032,197,197,6643,100.0
14030,201,201,6663,100.0
14029,363,363,6660,100.0
14026,186,186,22638,100.0
14025,191,191,6666,100.0
14024,201,201,6661,100.0
16001,192,192,6749,100.0
15021,372,372,6706,100.0
15020,2,2,6636,100.0
15019,125,125,6641,100.0
15017,372,372,6641,100.0
15015,372,372,6706,100.0
15014,201,201,6706,100.0
15013,372,372,6706,100.0
15012,201,201,6641,100.0
15011,372,372,6706,100.0
15008,369,369,6706,100.0
15007,372,372,6706,100.0
15004,372,372,6706,100.0
15003,262,262,6706,100.0
14044,372,372,6749,100.0
14043,358,358,6749,100.0
16023,367,367,6667,100.0
16022,58,58,6664,100.0
16021,143,143,30046,100.0
16020,359,359,6667,100.0
16019,359,359,6749,100.0
16018,300,300,22638,100.0
16016,369,369,6664,100.0
16014,372,372,6749,100.0
16012,372,372,6643,100.0
16011,201,201,30046,100.0
16008,342,342,6646,100.0
16007,201,201,6662,100.0
16006,372,372,6663,100.0
16005,171,171,6662,100.0
16004,372,372,22638,100.0
16003,201,201,6661,100.0
16047,372,372,6664,100.0
16046,372,372,6667,100.0
16045,360,360,6646,100.0
16044,172,172,30043,100.0
16041,201,201,30050,100.0
16040,372,372,6664,100.0
16039,371,371,6667,100.0
16038,200,200,22638,100.0
16036,198,198,6643,100.0
16035,199,199,6661,100.0
16034,372,372,6749,100.0
16033,372,372,6667,100.0
16031,201,201,22638,100.0
16030,365,365,22638,100.0
16025,372,372,30050,100.0
16024,200,200,6749,100.0
16115,372,372,6705,100.0
16114,100,100,6708,100.0
16113,94,94,6822,100.0
16112,179,179,29038,100.0
16111,372,372,17707,100.0
16110,201,201,6712,100.0
16109,201,201,6706,100.0
16108,372,372,6705,100.0
16107,193,193,29038,100.0
16106,365,365,6737,100.0
16104,339,339,6738,100.0
16102,372,372,7321,100.0
16051,372,372,6667,100.0
16050,355,355,6749,100.0
16049,361,361,6665,100.0
16048,190,190,6660,100.0
16136,194,194,6690,100.0
16134,359,359,6687,100.0
16133,195,195,6687,100.0
16132,208,208,6687,100.0
16131,372,372,6687,100.0
16130,340,340,6714,100.0
16129,372,372,6737,100.0
16128,164,164,6704,100.0
16127,201,201,6704,100.0
16126,372,372,18705,100.0
16122,188,188,12940,100.0
16121,357,357,6702,100.0
16120,179,179,6704,100.0
16118,357,357,8290,100.0
16117,372,372,6727,100.0
16116,252,252,6703,100.0
16213,191,191,6636,100.0
16212,372,372,6636,100.0
16211,192,192,6636,100.0
16210,372,372,6636,100.0
16209,372,372,6636,100.0
16208,372,372,6636,100.0
16207,354,354,6636,100.0
16206,349,349,6636,100.0
16205,268,268,6636,100.0
16204,88,88,6636,100.0
16202,201,201,6641,100.0
16201,372,372,6658,100.0
16140,355,355,6687,100.0
16139,192,192,6687,100.0
16138,366,366,6692,100.0
16137,368,368,6702,100.0
16605,198,198,6687,100.0
16604,199,199,6687,100.0
16601,190,190,6691,100.0
16226,372,372,6656,100.0
16225,228,228,6641,100.0
16224,372,372,6693,100.0
16223,372,372,6641,100.0
16222,294,294,6693,100.0
16221,201,201,6641,100.0
16220,372,372,6641,100.0
16219,372,372,6641,100.0
16218,372,372,6656,100.0
16217,358,358,6636,100.0
16216,360,360,6636,100.0
16215,372,372,6636,100.0
16214,201,201,6636,100.0
18020,372,372,37808,100.0
18018,372,372,37808,100.0
18017,359,359,46604,100.0
18016,372,372,37808,100.0
18015,132,132,37808,100.0
18014,353,353,46604,100.0
18013,352,352,46604,100.0
18012,199,199,37810,100.0
18011,364,364,37808,100.0
18010,199,199,37810,100.0
18009,372,372,37810,100.0
18008,372,372,37810,100.0
18007,201,201,37810,100.0
18006,369,369,37810,100.0
18005,343,343,37810,100.0
18002,371,371,37808,100.0
18038,370,370,46604,100.0
18036,370,370,37810,100.0
18035,362,362,46604,100.0
18034,114,114,46604,100.0
18033,201,201,37810,100.0
18032,372,372,37809,100.0
18031,201,201,46604,100.0
18030,167,167,37810,100.0
18029,118,118,37810,100.0
18027,369,369,37810,100.0
18026,37,37,37810,100.0
18025,368,368,46604,100.0
18024,355,355,46604,100.0
18023,362,362,37810,100.0
18022,372,372,37810,100.0
18021,124,124,37810,100.0
18059,169,169,37809,100.0
18057,358,358,37808,100.0
18056,368,368,37809,100.0
18055,371,371,37810,100.0
18052,201,201,37810,100.0
18051,372,372,37810,100.0
18050,201,201,37809,100.0
18049,364,364,37808,100.0
18048,365,365,46604,100.0
18047,372,372,37809,100.0
18046,201,201,37809,100.0
18044,200,200,37810,100.0
18043,372,372,37809,100.0
18042,372,372,37809,100.0
18040,372,372,37810,100.0
18039,201,201,37810,100.0
18114,372,372,6714,100.0
18113,366,366,18705,100.0
18112,241,241,23384,100.0
18111,181,181,11692,100.0
18110,370,370,18705,100.0
18109,372,372,6700,100.0
18107,200,200,23384,100.0
18106,372,372,7321,100.0
18105,344,344,23384,100.0
18104,201,201,6707,100.0
18103,156,156,6718,100.0
18102,367,367,17707,100.0
18101,344,344,6707,100.0
18063,369,369,37808,100.0
18061,201,201,37808,100.0
18060,368,368,37809,100.0
18132,148,148,6700,100.0
18131,201,201,6705,100.0
18130,201,201,6704,100.0
18129,201,201,12940,100.0
18128,363,363,6700,100.0
18127,357,357,18705,100.0
18124,372,372,17707,100.0
18123,201,201,23384,100.0
18122,191,191,6700,100.0
18121,172,172,6739,100.0
18120,372,372,6707,100.0
18119,355,355,6708,100.0
18118,338,338,6704,100.0
18117,372,372,11692,100.0
18116,368,368,29038,100.0
18115,367,367,6705,100.0
18148,201,201,6704,100.0
18147,368,368,6712,100.0
18146,361,361,6703,100.0
18145,359,359,6737,100.0
18144,370,370,6703,100.0
18143,201,201,6703,100.0
18142,299,299,6712,100.0
18141,368,368,11692,100.0
18140,201,201,6737,100.0
18139,356,356,6704,100.0
18138,361,361,6738,100.0
18137,372,372,6702,100.0
18136,184,184,6712,100.0
18135,201,201,6705,100.0
18134,201,201,23384,100.0
18133,164,164,6738,100.0
18165,182,182,30046,100.0
18164,372,372,6666,100.0
18163,372,372,6665,100.0
18162,344,344,6738,100.0
18161,323,323,30584,100.0
18160,360,360,23384,100.0
18159,359,359,23384,100.0
18158,372,372,18705,100.0
18157,367,367,23384,100.0
18156,356,356,6738,100.0
18155,201,201,6709,100.0
18153,340,340,6737,100.0
18152,186,186,6712,100.0
18151,351,351,8290,100.0
18150,333,333,6714,100.0
18149,349,349,6737,100.0
18182,369,369,6667,100.0
18181,199,199,30050,100.0
18180,164,164,6667,100.0
18179,335,335,6662,100.0
18178,101,101,37809,100.0
18177,14,14,6749,100.0
18175,326,326,6662,100.0
18174,372,372,6667,100.0
18173,193,193,6646,100.0
18172,372,372,6646,100.0
