vehicle_id,report_count,median_interval_sec,mean_interval_sec,max_interval_sec
18177,2,29.5,29.5,31.0
9790,129,30.0,33.8,158.0
9788,227,30.0,62.9,6351.0
9785,291,30.0,75.2,6335.0
9784,337,30.0,65.0,6341.0
9782,328,30.0,66.7,6336.0
9781,111,30.0,31.4,68.0
9779,162,30.0,37.4,690.0
9777,156,30.0,59.4,3538.0
9776,183,30.0,34.1,408.0
9775,11,30.0,50.5,254.0
9772,341,30.0,64.2,6336.0
9771,352,30.0,62.2,6359.0
9770,326,30.0,67.1,6109.0
14004,175,30.0,35.6,299.0
14002,344,30.0,63.6,6345.0
14001,163,30.0,37.5,710.0
14019,313,30.0,69.4,6337.0
14017,304,30.0,71.9,6325.0
14015,186,30.0,34.1,92.0
14014,332,30.0,65.9,6344.0
14011,176,30.0,34.9,418.0
14010,157,30.0,40.0,594.0
14009,289,30.0,75.6,6877.0
14007,315,30.0,69.5,6358.0
14006,168,30.0,34.5,250.0
12007,332,30.0,66.0,6347.0
12006,330,30.0,66.3,6350.0
12005,263,30.0,74.1,6277.0
12004,175,30.0,35.7,399.0
12003,165,30.0,38.0,860.0
12002,162,30.0,38.5,634.0
9791,74,30.0,31.5,68.0
15008,329,30.0,66.5,6304.0
15007,356,30.0,61.4,6352.0
15004,350,30.0,62.6,6329.0
15003,238,30.0,76.8,6354.0
14044,319,30.0,68.3,6379.0
14043,313,30.0,69.9,6352.0
14042,310,30.0,70.5,6338.0
14041,184,30.0,34.1,126.0
14039,278,30.0,78.7,6346.0
14038,178,30.0,36.2,287.0
14037,291,30.0,75.2,6348.0
14036,118,30.0,49.6,989.0
14035,161,30.0,35.0,308.0
14034,159,30.0,36.4,411.0
9769,304,30.0,72.0,6334.0
9767,169,30.0,35.9,172.0
16011,185,30.0,33.9,163.0
16008,286,30.0,76.5,6429.0
16007,176,30.0,35.6,135.0
16006,312,30.0,70.2,6345.0
16005,151,30.0,35.3,468.0
16004,339,30.0,64.6,6368.0
16003,174,30.0,36.0,130.0
