route_id,total_records,unique_vehicles,records_per_vehicle
6624,3218,26,123.77
6622,2264,15,150.93
6705,2073,16,129.56
6617,2070,12,172.5
6641,1995,12,166.25
37807,1947,10,194.7
6619,1898,11,172.55
37810,1884,11,171.27
6712,1870,16,116.88
16718,1765,16,110.31
6625,1757,9,195.22
6636,1734,13,133.38
6687,1724,15,114.93
6738,1715,14,122.5
23384,1616,10,161.6
6627,1598,11,145.27
6667,1517,11,137.91
6706,1512,10,151.2
6614,1509,10,150.9
46604,1507,10,150.7
6613,1499,8,187.38
6728,1498,11,136.18
6618,1493,9,165.89
6703,1436,8,179.5
6620,1414,9,157.11
37808,1397,9,155.22
6612,1395,8,174.38
6626,1367,7,195.29
6749,1326,8,165.75
38311,1305,8,163.12
6623,1241,7,177.29
6821,1179,8,147.38
37809,1173,6,195.5
6715,1147,10,114.7
6741,1132,11,102.91
6704,1121,15,74.73
6633,1101,8,137.62
6724,1070,10,107.0
6615,1069,13,82.23
6642,1026,10,102.6
11692,985,12,82.08
6693,985,9,109.44
6649,980,6,163.33
7321,956,9,106.22
6737,949,11,86.27
6616,934,13,71.85
6651,931,7,133.0
6730,930,10,93.0
30055,920,5,184.0
34542,893,6,148.83
6657,892,6,148.67
6682,876,10,87.6
29038,836,9,92.89
6645,833,10,83.3
6692,821,9,91.22
6630,806,8,100.75
6727,780,9,86.67
6637,763,9,84.78
32799,754,9,83.78
18705,743,5,148.6
6747,697,6,116.17
6819,676,6,112.67
6621,675,8,84.38
30046,656,6,109.33
6646,642,4,160.5
11201,633,4,158.25
6666,632,6,105.33
6707,625,11,56.82
22638,615,6,102.5
6726,601,5,120.2
16717,594,4,148.5
6658,582,3,194.0
6673,568,5,113.6
33538,558,3,186.0
30043,548,7,78.29
6748,545,6,90.83
6680,537,10,53.7
6650,520,7,74.29
6677,518,6,86.33
6654,516,7,73.71
6665,504,5,100.8
6722,491,4,122.75
6664,490,5,98.0
6708,490,6,81.67
12940,484,7,69.14
6643,483,4,120.75
6676,480,6,80.0
6647,479,9,53.22
6698,478,4,119.5
6659,470,4,117.5
40855,468,3,156.0
6668,462,5,92.4
6796,453,2,226.5
6652,450,6,75.0
6817,449,5,89.8
6663,441,6,73.5
30040,439,6,73.17
8290,438,7,62.57
6648,427,4,106.75
6660,427,4,106.75
31819,423,3,141.0
6628,421,5,84.2
34543,420,4,105.0
6700,417,4,104.25
30039,403,7,57.57
6713,403,3,134.33
6685,395,7,56.43
6672,394,6,65.67
6723,392,9,43.56
30038,387,7,55.29
6679,386,5,77.2
6662,375,5,75.0
33292,374,7,53.43
6702,374,4,93.5
22639,361,4,90.25
17707,356,4,89.0
11696,345,5,69.0
6661,342,5,68.4
16719,338,3,112.67
30584,334,3,111.33
6644,326,2,163.0
6837,326,4,81.5
6678,316,6,52.67
46099,312,3,104.0
6629,304,5,60.8
30044,291,5,58.2
6725,291,8,36.38
6638,282,3,94.0
6822,282,3,94.0
6674,272,3,90.67
6806,260,4,65.0
30045,255,4,63.75
36799,253,5,50.6
6790,252,3,84.0
20667,246,2,123.0
39307,245,1,245.0
30036,243,1,243.0
30049,232,5,46.4
6818,220,2,110.0
30037,206,6,34.33
6688,200,2,100.0
6780,199,3,66.33
39304,188,2,94.0
30042,188,2,94.0
7509,188,2,94.0
6828,188,2,94.0
48855,188,2,94.0
6701,180,4,45.0
6689,169,2,84.5
6631,157,4,39.25
6675,155,3,51.67
6709,146,2,73.0
30050,140,3,46.67
6800,140,2,70.0
6691,129,2,64.5
30047,114,3,38.0
6799,113,3,37.67
6690,113,2,56.5
31821,108,2,54.0
34043,102,2,51.0
30048,96,4,24.0
34541,95,2,47.5
31817,95,2,47.5
31818,94,1,94.0
6811,94,1,94.0
6779,94,1,94.0
11202,94,1,94.0
34540,93,2,46.5
31816,93,2,46.5
34042,86,2,43.0
6823,79,1,79.0
6825,74,1,74.0
6841,72,8,9.0
6776,72,1,72.0
30051,71,3,23.67
31822,67,2,33.5
6843,61,1,61.0
10232,54,1,54.0
6844,49,2,24.5
7322,22,1,22.0
6834,17,10,1.7
6838,13,4,3.25
6830,11,4,2.75
6836,3,2,1.5
6835,3,3,1.0
6840,3,3,1.0
6831,2,2,1.0
6833,2,2,1.0
