route_id,hour,records,unique_vehicles
10232,0,580,5
10232,1,571,9
10232,2,681,9
10232,3,241,6
10232,4,117,1
10232,5,117,1
10232,6,8,1
10232,12,3,1
10232,13,461,4
10232,14,582,5
10232,15,620,6
10232,16,656,7
10232,17,558,7
10232,18,494,6
10232,19,564,5
10232,20,587,10
10232,21,621,9
10232,22,585,5
10232,23,661,8
11201,0,5053,36
11201,1,4460,36
11201,2,3289,27
11201,3,2262,21
11201,4,2231,18
11201,5,2171,18
11201,6,1292,14
11201,7,253,6
11201,12,595,13
11201,13,2527,28
11201,14,4793,42
11201,15,6152,44
11201,16,5769,42
11201,17,4112,37
11201,18,3507,31
11201,19,3857,30
11201,20,3791,30
11201,21,4880,36
11201,22,5194,36
11201,23,5070,36
11202,0,117,1
11202,1,117,1
11202,2,118,1
11202,3,117,1
11202,4,117,1
11202,5,7,1
11202,14,118,1
11202,15,117,1
11202,16,117,1
11202,17,117,1
11202,18,118,1
11202,19,117,1
11202,20,117,1
11202,21,117,1
11202,22,117,1
11202,23,118,1
11692,0,5755,62
11692,1,5155,50
11692,2,3682,42
11692,3,2740,33
11692,4,2246,26
11692,5,1332,16
11692,6,1167,12
11692,7,697,10
11692,8,49,4
11692,11,20,4
11692,12,1337,19
11692,13,2882,40
11692,14,4194,48
11692,15,4885,43
11692,16,4856,49
11692,17,3604,43
11692,18,3443,41
11692,19,3697,42
11692,20,3808,41
11692,21,4409,44
11692,22,4555,46
11692,23,5191,54
11693,0,2999,32
11693,1,2994,32
11693,2,2431,29
11693,3,2202,18
11693,4,2023,21
11693,5,720,13
11693,11,10,2
11693,12,1055,17
11693,13,2489,24
11693,14,2652,21
11693,15,2819,28
11693,16,2740,25
11693,17,2186,21
11693,18,1991,18
11693,19,2366,21
11693,20,2355,21
11693,21,2722,21
11693,22,2797,21
11693,23,2863,28
11696,0,2184,25
11696,1,2103,22
11696,2,2110,22
11696,3,2061,21
11696,4,1826,21
11696,5,1595,17
11696,6,1387,10
11696,7,684,10
11696,11,99,5
11696,12,1052,12
11696,13,1465,14
11696,14,1727,16
11696,15,1833,17
11696,16,1976,21
11696,17,1835,20
11696,18,1686,20
11696,19,1996,21
11696,20,1840,21
11696,21,2130,21
11696,22,2130,21
11696,23,2129,21
12940,0,2614,26
12940,1,2585,29
12940,2,2122,28
12940,3,1761,21
12940,4,1358,18
12940,5,1027,10
12940,6,827,11
12940,7,486,6
12940,8,11,1
12940,11,232,4
12940,12,1037,13
12940,13,1587,13
12940,14,1727,15
12940,15,1801,18
12940,16,1869,24
