route_id,days_active,mean_daily_records,std_daily_records,min_daily_records,max_daily_records,total_records,cv_daily_records,is_persistent
6641,5,42874.0,7331.3,32926,48859,214370,0.171,True
6636,5,39148.4,7627.4,27864,45264,195742,0.1948,True
37810,5,37778.2,6430.2,28408,43095,188891,0.1702,True
6622,5,34868.6,2863.8,31143,37600,174343,0.0821,True
6705,5,32085.2,2564.2,29080,34494,160426,0.0799,True
23384,5,31852.8,4015.4,26210,35295,159264,0.1261,True
6627,5,29521.0,3478.1,24563,32646,147605,0.1178,True
6624,5,28942.6,3026.7,26823,34216,144713,0.1046,True
16718,5,25790.8,2349.4,22489,28858,128954,0.0911,True
6712,5,25318.8,3017.1,21633,27994,126594,0.1192,True
37807,5,25117.6,3179.6,20332,27484,125588,0.1266,True
6617,5,24143.4,1392.7,22012,25461,120717,0.0577,True
6728,5,24046.8,2710.5,20618,26770,120234,0.1127,True
6619,5,22904.8,1481.4,20913,24348,114524,0.0647,True
6687,5,22826.2,2020.2,19817,24625,114131,0.0885,True
6642,5,21803.2,1935.9,19380,23744,109016,0.0888,True
6738,5,21728.0,1899.0,19168,23537,108640,0.0874,True
6667,5,20538.0,1436.0,18361,21889,102690,0.0699,True
6625,5,20332.0,1335.2,18719,21758,101660,0.0657,True
6614,5,20075.2,1882.4,16908,21289,100376,0.0938,True
6706,5,19962.2,1880.8,17856,21772,99811,0.0942,True
46604,5,19229.6,1324.2,17438,20448,96148,0.0689,True
6682,5,19189.4,2044.4,16543,21174,95947,0.1065,True
6651,5,18432.6,2103.7,16136,20593,92163,0.1141,True
6626,5,18221.0,1573.5,16081,19758,91105,0.0864,True
6715,5,18137.6,1413.8,16248,19480,90688,0.0779,True
6749,5,17815.0,1458.1,15800,19188,89075,0.0818,True
6737,5,17802.4,1928.2,14801,19425,89012,0.1083,True
6620,5,17584.8,1157.6,16163,18685,87924,0.0658,True
37808,5,17571.6,1355.9,15919,19062,87858,0.0772,True
6704,5,16986.2,1798.6,14450,18574,84931,0.1059,True
6613,5,16926.4,1247.3,14873,18001,84632,0.0737,True
6703,5,16812.2,1411.4,15238,18122,84061,0.084,True
6618,5,16362.2,993.8,14754,17097,81811,0.0607,True
6730,5,16219.4,1459.7,14284,17684,81097,0.09,True
